Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2016,Joseph Chavez,MIA,LEVEL,23,17,0,0.41176471,0,0.1875,0.23529412,0.25,0.48529412,0.0625,2.642857143,0.33333333,-0.00159207,0.786304624,-1.139387331,0.229643173,40.83231597,sa827135
2016,Kyle Overstreet,SDP,LEVEL,22,35,0.14285714,0.14285714,1,0.26666667,0.37142857,0.33333333,0.7047619,0.06666666,0.96016483,0.32,0.002561801,4.411105096,0.606920115,0.340108049,115.9540117,sa827140
2017,Kyle Overstreet,SDP,LEVEL,23,67,0.1641791,0.11940299,1.375,0.32727273,0.44776119,0.54545455,0.99321574,0.21818182,2.006201483,0.35555556,-0.412991675,14.35885621,6.470008293,0.447394793,182.0146156,sa827140
2017,Tucker Tubbs,BOS,LEVEL,24,417,0.09592326,0.22302158,0.43010753,0.23306233,0.31654676,0.35772358,0.67427034,0.12466125,3.536426154,0.29411765,-0.542011843,46.62885012,-1.164353125,0.312778082,97.56376839,sa827145
2015,Trent Woodward,HOU,LEVEL,23,114,0.0877193,0.21052632,0.41666667,0.29411765,0.36283186,0.33333333,0.69616519,0.03921568,4.391954996,0.38461538,-0.618177481,13.83121275,1.083846856,0.33346926,108.5025162,sa827146
2016,Mitchell Gunsolus,BOS,LEVEL,23,405,0.12345679,0.24197531,0.51020408,0.22254335,0.32338308,0.35260116,0.67598424,0.13005781,1.929155458,0.275,-1.630921132,45.11126834,-0.765510584,0.315693802,98.33137678,sa827150
2017,Mitchell Gunsolus,BOS,LEVEL,24,431,0.16009281,0.32714617,0.4893617,0.20520231,0.34731935,0.28612717,0.63344652,0.08092486,4.601454249,0.33173077,1.218674832,46.42224985,-2.975521373,0.307346151,93.97640562,sa827150
2015,Ryan Plourde,CHW,LEVEL,23,135,0.2,0.2,1,0.2,0.37313433,0.27619048,0.64932481,0.07619048,2.870783785,0.25974026,-1.137713087,16.26808723,0.365222372,0.327629555,102.2965823,sa827157
2016,Hunter Redman,SDP,LEVEL,23,15,0.2,0.13333333,1.5,0.33333333,0.46666667,0.41666667,0.88333334,0.08333334,0.142857143,0.4,0.001397346,2.769432582,1.13906759,0.42081699,169.8658028,sa827158
2016,Michael Russell,TBR,LEVEL,23,458,0.09825328,0.13973799,0.703125,0.29292929,0.38074398,0.44949495,0.83023893,0.15656566,7.522084514,0.33027523,2.389689695,73.1241142,23.34363645,0.386425662,146.8931547,sa827159
2016,Austin Byler,ARI,LEVEL,23,213,0.10328638,0.33802817,0.30555556,0.25945946,0.35211268,0.40540541,0.75751809,0.14594595,5.569963013,0.4,-0.515486478,29.24439945,6.093216564,0.355625378,126.3192451,sa827162
2016,Jake Fincher,CHW,LEVEL,23,44,0.09090909,0.20454545,0.44444444,0.25641026,0.3255814,0.33333333,0.65891473,0.07692307,8.22267956,0.33333333,0.793631732,4.616844191,-0.367299692,0.307162318,92.63063627,sa827166
2016,Patrick Mazeika,NYM,LEVEL,22,293,0.12969283,0.1331058,0.97435897,0.30543933,0.41438356,0.40167364,0.8160572,0.09623431,2.887405602,0.34653465,0.344808245,46.99906942,13.8092022,0.380457767,141.6066811,sa827167
2016,Logan Ratledge,PIT,LEVEL,23,343,0.05247813,0.13994169,0.375,0.23920266,0.30421687,0.3255814,0.62979827,0.08637874,5.777992654,0.27091633,0.402394797,32.7771379,-6.076529186,0.294785549,84.36047446,sa827169
2017,Logan Ratledge,PIT,LEVEL,24,125,0.12,0.152,0.78947368,0.23364486,0.328,0.36448598,0.69248598,0.13084112,4.308350895,0.25287356,-0.846751096,14.82748831,0.500988538,0.321761995,103.4969361,sa827169
2015,Casey Gillaspie,TBR,LEVEL,22,268,0.10447761,0.16044776,0.65116279,0.27777778,0.35820896,0.52991453,0.88812349,0.25213675,3.705262416,0.2752809,0.741470846,46.34017239,16.37268065,0.403408264,154.6348049,sa827177
2016,Conner Hale,SEA,LEVEL,23,432,0.05092593,0.21990741,0.23157895,0.26119403,0.29672897,0.35074627,0.64747524,0.08955224,3.512052523,0.32236842,-0.140276412,42.20149366,-4.753018106,0.301069913,89.87739851,sa827178
2017,Conner Hale,SEA,LEVEL,24,51,0.07843137,0.21568627,0.36363636,0.21276596,0.2745098,0.38297872,0.65748852,0.17021276,4.421703268,0.25714286,-0.001147779,5.021040727,-0.98390321,0.297800472,83.61511414,sa827178
2014,Max Murphy,MIN,LEVEL,21,137,0.05839416,0.2919708,0.2,0.24193548,0.31386861,0.39516129,0.7090299,0.15322581,2.710440295,0.325,-0.237206521,16.79921993,0.845707147,0.328871531,105.3010717,sa827182
2015,Max Murphy,MIN,LEVEL,22,388,0.06958763,0.2242268,0.31034483,0.22478386,0.30154639,0.34870317,0.65024956,0.12391931,7.669130106,0.28682171,0.737064943,39.51044434,-3.875327289,0.30703722,91.06774608,sa827182
2016,Max Murphy,MIN,LEVEL,23,71,0.08450704,0.28169014,0.3,0.15873016,0.25352113,0.23809524,0.49161637,0.07936508,8.706836155,0.23255814,0.603493374,3.875151536,-3.841909425,0.241693673,50.21538064,sa827182
2016,Josh Anderson,ARI,LEVEL,23,133,0.04511278,0.21804511,0.20689655,0.25409836,0.30827068,0.33606557,0.64433625,0.08196721,2.259803127,0.32258065,-0.557044571,13.33103482,-1.124868109,0.304574858,92.21862436,sa827186
2014,Branden Cogswell,OAK,LEVEL,21,151,0.11258278,0.1589404,0.70833333,0.203125,0.30872483,0.234375,0.54309983,0.03125,5.047874351,0.24761905,0.152303083,11.71660587,-5.867192899,0.269680951,66.63296153,sa827188
2015,Gunnar Heidt,TOR,LEVEL,22,208,0.05288462,0.22115385,0.23913043,0.17989418,0.22439024,0.24338624,0.46777648,0.06349206,6.411739753,0.23129252,0.391669705,8.056766832,-15.20158497,0.221490235,34.64031717,sa827195
2016,Gunnar Heidt,TOR,LEVEL,23,241,0.09128631,0.23236515,0.39285714,0.27014218,0.35146444,0.42654028,0.77800472,0.1563981,6.858889785,0.34868421,-0.444480626,34.32030232,8.125771454,0.362663972,131.0208703,sa827195
2015,Ben Moore,BOS,LEVEL,22,102,0.04901961,0.12745098,0.38461538,0.31914894,0.35643564,0.42553191,0.78196755,0.10638297,7.133840993,0.36585366,0.536955547,14.69479267,2.679294775,0.358474655,122.2986579,sa827201
2017,Orlando Romero,TBR,LEVEL,20,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,-100,sa827251
2015,Skyler Ewing,SFG,LEVEL,22,535,0.1046729,0.20186916,0.51851852,0.23126338,0.32149533,0.3254818,0.64697713,0.09421842,4.045164908,0.29362881,-1.15720121,56.22167562,-6.800788817,0.307447176,89.20894497,sa827317
2016,Skyler Ewing,SFG,LEVEL,23,302,0.09271523,0.22847682,0.4057971,0.24137931,0.33112583,0.40996169,0.74108752,0.16858238,4.702012011,0.28494624,-0.037171815,39.17441966,4.965068463,0.339911686,114.5137756,sa827317
