Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2009,Chuckie Caufield,MIL,LEVEL,25,340,0.05882353,0.16470588,0.35714286,0.25496689,0.31656805,0.34437086,0.66093891,0.08940397,3.266939008,0.29435484,-0.441162166,33.3368486,-5.672711893,0.307365989,85.45814969,sa328977
2010,Chuckie Caufield,MIL,LEVEL,26,215,0.09767442,0.24186047,0.40384615,0.2826087,0.36666667,0.41304348,0.77971015,0.13043478,3.988403907,0.37209302,0.383506332,30.22581265,4.564487529,0.361159377,117.7874194,sa328977
2011,Chuckie Caufield,MIL,LEVEL,27,111,0.01801802,0.24324324,0.07407407,0.26470588,0.31192661,0.42156863,0.73349524,0.15686275,4.703185383,0.33333333,-0.639767731,13.19862888,-0.377336753,0.331898376,97.22055312,sa328977
2009,Elvis Hernandez,STL,LEVEL,24,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,-100,sa328984
2008,Marco Carrillo,CHC,LEVEL,21,6,0.16666667,0.16666667,1,0.33333333,0.5,0.33333333,0.83333333,0,0.142857143,0.5,0.00293856,1.103075901,0.364769885,0.414782003,149.4063271,sa328993
2009,Marco Carrillo,CHC,LEVEL,22,3,0.33333333,0,1,0,0.5,0,0.5,0,0.142857143,0,-0.000363252,0.422522767,0.078320763,0.363121003,122.7543017,sa328993
2010,Marco Carrillo,CHC,LEVEL,23,6,0,0.33333333,0,0.16666667,0.16666667,0.16666667,0.33333334,0,0.142857143,0.25,-0.000266027,-0.13471648,-0.850846484,0.154492497,-18.81173527,sa328993
2011,Marco Carrillo,CHC,LEVEL,24,14,0.07142857,0.07142857,1,0.25,0.30769231,0.25,0.55769231,0,2.642857143,0.27272727,0.00816504,0.949795333,-0.762488621,0.268648918,55.46949916,sa328993
2009,Elio Sarmiento,TEX,LEVEL,23,29,0.10344828,0.20689655,0.5,0.07692308,0.17241379,0.11538462,0.28779841,0.03846154,0.767857143,0.1,-0.003008476,-0.689295889,-4.28793487,0.15363879,-19.15434953,sa328997
2010,Elio Sarmiento,TEX,LEVEL,24,229,0.07423581,0.18777293,0.39534884,0.19117647,0.26548673,0.28921569,0.55470242,0.09803922,5.594603791,0.23125,0.44177356,14.45654972,-12.57002984,0.261725293,53.49011955,sa328997
2011,Elio Sarmiento,TEX,LEVEL,25,235,0.06808511,0.1787234,0.38095238,0.27884615,0.33333333,0.44230769,0.77564102,0.16346154,6.479666938,0.32515337,0.020951377,31.80637646,1.711807659,0.343221562,105.688095,sa328997
2012,Hayden Beard,SDP,LEVEL,27,13,0,0.15384615,0,0.30769231,0.30769231,0.38461538,0.69230769,0.07692307,0.142857143,0.36363636,-0.00662406,1.387351798,-0.139303213,0.310031309,90.87526575,sa329007
2010,Manny Alvarez,NYM,LEVEL,24,2,0,1,0,0,0,0,0,0,0.142857143,0,0,-0.286679682,-0.530817685,0,-100,sa329011
2009,Josh Wilkie,WSN,LEVEL,24,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,-100,sa329014
2009,Gabe Ortiz,OAK,LEVEL,23,27,0,0.18518519,0,0.28,0.25925926,0.48,0.73925926,0.2,7.5,0.28571429,0.39699153,2.786902279,-0.563554704,0.312199107,83.17976602,sa329062
2010,Gabe Ortiz,OAK,LEVEL,24,122,0.04098361,0.25409836,0.16129032,0.22608696,0.26229508,0.30434783,0.56664291,0.07826087,2.840825188,0.29761905,-0.192362035,7.72460373,-6.673836035,0.261964697,53.6488943,sa329062
2008,Carlos Sencion,ATL,LEVEL,23,19,0.05263158,0.47368421,0.11111111,0,0.05555556,0,0.05555556,0,0.142857143,0,0.00146928,-2.257475694,-4.595444743,0.040766279,-96.55712482,sa329071
2016,Steven Kent,ATL,LEVEL,27,3,0,0.66666667,0,0,0,0,0,0,0.142857143,0,0,-0.380286327,-0.707991338,0,-100,sa329072
2011,Santo Manzanillo,MIL,LEVEL,22,1,0,0,0,0,0,0,0,0,0.142857143,0,0,-0.14904945,-0.271355447,0,-100,sa329086
2012,Santo Manzanillo,MIL,LEVEL,23,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,-100,sa329086
2013,Santo Manzanillo,MIL,LEVEL,24,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,-100,sa329086
2010,Wilmin Rodriguez,SFG,LEVEL,25,2,0,0.5,0,0,0,0,0,0,0.142857143,0,0,-0.286679682,-0.530817685,0,-100,sa329097
2011,Wilmin Rodriguez,SFG,LEVEL,26,2,0,1,0,0,0,0,0,0,0.142857143,0,0,-0.282093505,-0.521277512,0,-100,sa329097
2013,Jose Valdez,SFG,LEVEL,24,3,0,0.33333333,0,0,0,0,0,0,0.142857143,0,0,-0.419333932,-0.774071922,0,-100,sa329099
2013,Reynaldo Rodriguez,MIN,LEVEL,26,469,0.09381663,0.23027719,0.40740741,0.2313253,0.30490405,0.48192771,0.78683176,0.25060241,5.419441738,0.2559727,-0.741544987,61.85207151,6.394699131,0.34592208,111.5308369,sa329131
2014,Reynaldo Rodriguez,MIN,LEVEL,27,517,0.0754352,0.14893617,0.50649351,0.28633406,0.344294,0.50976139,0.85405539,0.22342733,4.369681656,0.29758713,-0.605630704,80.61160826,20.09882699,0.37522455,133.2141848,sa329131
2011,Reynaldo Rodriguez,BOS,LEVEL,24,199,0.04522613,0.24120603,0.1875,0.25268817,0.30150754,0.47311828,0.77462582,0.22043011,6.337899655,0.3,1.172629722,26.17629107,2.377482372,0.342245239,109.9899218,sa329131
2012,Reynaldo Rodriguez,BOS,LEVEL,25,368,0.0951087,0.2201087,0.43209877,0.25688073,0.33423913,0.50458716,0.83882629,0.24770643,5.087567582,0.29310345,-0.00015547,54.68599565,12.40169055,0.371862562,129.3292997,sa329131
2009,Edgar Ramirez,NYM,LEVEL,25,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,-100,sa329172
2010,Edgar Ramirez,NYM,LEVEL,26,5,0,1,0,0,0,0,0,0,0.142857143,0,0,-0.716699206,-1.327044212,0,-100,sa329172
2011,Edgar Ramirez,NYM,LEVEL,27,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,-100,sa329172
2012,Edgar Ramirez,NYM,LEVEL,28,1,0,1,0,0,0,0,0,0,0.142857143,0,0,-0.142168803,-0.257071806,0,-100,sa329172
2010,Dan Leatherman,WSN,LEVEL,24,1,0,0,0,0,0,0,0,0,0.142857143,0,0,-0.143339841,-0.265408842,0,-100,sa329241
2011,Wilberto Ortiz,LAD,LEVEL,26,198,0.1010101,0.13131313,0.76923077,0.22222222,0.30612245,0.35672515,0.6628476,0.13450293,3.750307501,0.24137931,0.287774184,18.84433012,-5.372257235,0.302501743,77.81579561,sa329326
2008,Wilberto Ortiz,LAA,LEVEL,23,280,0.05357143,0.13571429,0.39473684,0.26377953,0.3115942,0.34251969,0.65411389,0.07874016,3.429188823,0.2962963,0.329549021,25.78753964,-9.459140736,0.300756907,73.16303086,sa329326
2009,Wilberto Ortiz,LAA,LEVEL,24,485,0.07216495,0.09690722,0.74468085,0.25747126,0.32075472,0.30114943,0.62190415,0.04367817,3.765879812,0.28791774,-1.794456107,44.37622883,-15.80790586,0.297563635,73.73409796,sa329326
2008,Victor Alvarez,PIT,LEVEL,25,71,0.14084507,0.14084507,1,0.1,0.22857143,0.13333333,0.36190476,0.03333333,3.854651773,0.12,-0.222611578,0.481173901,-8.184092188,0.192942255,5.552903932,sa329368
2008,Marco Gonzalez,STL,LEVEL,24,3,0,0.33333333,0,0,0,0,0,0,0.142857143,0,0,-0.469709957,-0.847352961,0,-100,sa329392
2009,Marco Gonzalez,STL,LEVEL,25,1,0,1,0,0,0,0,0,0,0.142857143,0,0,-0.14681471,-0.270905709,0,-100,sa329392
2008,Adrian Casanova,DET,LEVEL,25,21,0,0.33333333,0,0.25,0.25,0.25,0.5,0,0.767857143,0.38461538,0.002525145,0.762174422,-1.800791604,0.229329243,29.73798381,sa329436
2009,Adrian Casanova,DET,LEVEL,26,15,0.13333333,0.26666667,0.5,0.15384615,0.26666667,0.15384615,0.42051282,0,0.142857143,0.22222222,0.003427392,0.448081895,-1.279348106,0.219685602,25.93922155,sa329436
2007,Osbek Castillo,ARI,LEVEL,26,14,0,0.14285714,0,0.23076923,0.23076923,0.30769231,0.53846154,0.07692308,2.642857143,0.27272727,0.0023344,0.673501674,-0.997300294,0.241687692,40.31008382,sa329437
2008,Andrew Lefave,WSN,LEVEL,24,226,0.13716814,0.12831858,1.06896552,0.25,0.34977578,0.35106383,0.70083961,0.10106383,4.58170994,0.28395062,-1.7165931,25.85615436,-1.726241924,0.325623964,93.74150851,sa329493
2010,Yefri Carvajal,SDP,LEVEL,21,36,0.05555556,0.13888889,0.4,0.17647059,0.22222222,0.38235294,0.60457516,0.20588235,0.55952383,0.14814815,0.004443995,2.554510268,-1.694209663,0.271728365,60.12423294,sa329501
2009,Renny Osuna,TEX,LEVEL,24,279,0.07885305,0.11827957,0.66666667,0.24603175,0.30685921,0.28174603,0.58860524,0.03571428,3.622913344,0.28054299,-1.803245019,21.71758811,-12.90380071,0.280511642,62.72881836,sa330039
2010,Renny Osuna,TEX,LEVEL,25,498,0.0562249,0.15461847,0.36363636,0.29333333,0.34020619,0.38888889,0.72909508,0.09555556,6.184368722,0.34501348,-0.025832213,60.28519315,1.511234114,0.335730999,102.5712648,sa330039
2011,Renny Osuna,TEX,LEVEL,26,572,0.06818182,0.11013986,0.61904762,0.29423077,0.3409894,0.40384615,0.74483555,0.10961538,4.993133953,0.31567329,-0.383776699,72.92758801,-0.323873077,0.3337811,99.55786127,sa330039
2012,Renny Osuna,LAA,LEVEL,27,523,0.06883365,0.09942639,0.69230769,0.25840336,0.31141199,0.33193277,0.64334476,0.07352941,5.353990229,0.28301887,1.047653413,49.9371114,-11.48139404,0.295729682,81.30629529,sa330039
2015,Nate Samson,LAD,LEVEL,27,89,0.08988764,0.12359551,0.72727273,0.22222222,0.29213483,0.27160494,0.56373977,0.04938272,3.403768681,0.25714286,-0.077647663,6.247839961,-4.074647207,0.268388804,60.52649773,sa331346
2014,Nate Samson,ARI,LEVEL,26,137,0.10948905,0.18248175,0.6,0.27350427,0.36296296,0.44444444,0.8074074,0.17094017,6.08130658,0.31460674,0.170615187,20.15900898,4.480728767,0.368671049,128.5792109,sa331346
2009,Nate Samson,CHC,LEVEL,21,68,0.04411765,0.07352941,0.6,0.29230769,0.32352941,0.30769231,0.63122172,0.01538462,4.938438205,0.31666667,0.392371714,6.133581486,-1.668330613,0.297138057,78.61638798,sa331346
2010,Nate Samson,CHC,LEVEL,22,257,0.05447471,0.14007782,0.38888889,0.26180258,0.30708661,0.30901288,0.61609949,0.0472103,3.127666937,0.3,-1.499269856,21.37079388,-9.303441266,0.288360681,69.67017687,sa331346
2011,Nate Samson,CHC,LEVEL,23,309,0.07119741,0.13915858,0.51162791,0.23550725,0.30163934,0.37318841,0.67482775,0.13768116,6.261127762,0.26086957,-0.813206788,30.39647605,-7.396076939,0.306461753,80.42980335,sa331346
2012,Nate Samson,CHC,LEVEL,24,229,0.06550218,0.13973799,0.46875,0.27142857,0.31718062,0.35714286,0.67432348,0.08571429,4.400904067,0.30898876,0.695799449,22.5721895,-3.29565126,0.312445521,87.25965847,sa331346
2013,Nate Samson,CHC,LEVEL,25,43,0.1627907,0.1627907,1,0.25714286,0.37209302,0.31428571,0.68637873,0.05714285,2.282629435,0.31034483,-0.427615776,4.926898766,0.340905737,0.32871718,107.4336296,sa331346
2012,Mike Marbry,COL,LEVEL,27,3,0.33333333,0.33333333,1,0,0.33333333,0,0.33333333,0,0.142857143,0,-0.00220802,0.151058091,-0.201246912,0.238294005,42.87707806,sa331348
2013,Mike Marbry,COL,LEVEL,28,1,1,0,1,0,1,0,1,0,0.142857143,0,-0.00150633,0.414141376,0.300258373,0.703185022,363.6551225,sa331348
2008,Chad Lundahl,ATL,LEVEL,23,1,0,0,0,1,1,1,2,0,0.142857143,1,0.00146928,0.596994976,0.473943973,0.92533499,485.1605942,sa331349
2009,Luis Sanchez,TOR,LEVEL,22,303,0.09240924,0.22442244,0.41176471,0.19083969,0.26779661,0.25572519,0.5235218,0.0648855,3.130020503,0.24873096,0.255695125,16.21505789,-18.67902813,0.250166522,46.4693584,sa331867
2010,Luis Sanchez,TOR,LEVEL,23,112,0.07142857,0.22321429,0.32,0.18367347,0.24545455,0.21428571,0.45974026,0.03061224,3.424274151,0.23684211,0.194356187,3.70299473,-9.968733404,0.219294511,27.08505241,sa331867
2011,Matt McSwain,PIT,LEVEL,25,9,0,0.33333333,0,0,0,0,0,0,0.142857143,0,0,-1.269420772,-2.345748803,0,-100,sa332077
2012,Matt McSwain,PIT,LEVEL,26,4,0,0.25,0,0.33333333,0.33333333,0.33333333,0.66666666,0,2.642857143,0.5,0.000119305,0.386164462,-0.073447549,0.305281341,84.01966277,sa332077
2008,Moises Robles,PIT,LEVEL,24,1,0,0,0,0,0,0,0,0,0.142857143,0,0,-0.149736588,-0.27178259,0,-100,sa353860
2009,Moises Robles,PIT,LEVEL,25,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,-100,sa353860
2009,Kendy Batista,LAD,LEVEL,27,7,0,0.42857143,0,0,0,0,0,0,0.142857143,0,0,-0.96495354,-1.76809155,0,-100,sa353861
2011,David Paisano,TEX,LEVEL,23,120,0.04166667,0.25,0.16666667,0.22727273,0.27118644,0.25454545,0.52573189,0.02727272,4.645021645,0.30864198,-0.114648496,6.533483207,-8.833956182,0.245936174,42.5151064,sa355427
2015,Balbino Fuenmayor,KCR,LEVEL,25,308,0.03896104,0.14935065,0.26086957,0.35395189,0.38636364,0.59106529,0.97742893,0.2371134,3.484378695,0.38095238,-0.04486231,60.50003958,24.777275,0.430753684,169.3599034,sa356978
2011,Mike DeMark,ARI,LEVEL,28,2,0,0.5,0,0,0,0,0,0,0.142857143,0,0,-0.2980989,-0.542710894,0,-100,sa376291
2008,Mike DeMark,SDP,LEVEL,25,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,-100,sa376291
2009,Mike DeMark,SDP,LEVEL,26,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,-100,sa376291
2010,Mike DeMark,SDP,LEVEL,27,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,-100,sa376291
2007,Yohannis Perez,MIL,LEVEL,24,212,0.0754717,0.25943396,0.29090909,0.19473684,0.25961538,0.23684211,0.49645749,0.04210527,4.577716836,0.27205882,-0.803590781,8.698309079,-16.60240643,0.23275461,34.37969601,sa376521
2008,Yohannis Perez,MIL,LEVEL,25,10,0.2,0.3,0.66666667,0,0.2,0,0.2,0,0.142857143,0,0.00293856,-0.330435454,-1.56094548,0.146758604,-26.85353611,sa376521
2009,Yohannis Perez,MIL,LEVEL,26,271,0.0701107,0.13653137,0.51351351,0.26209677,0.31734317,0.35483871,0.67218188,0.09274194,2.047980159,0.2952381,-0.229299131,27.40456803,-3.688346366,0.311371665,88.13766275,sa376521
2011,Ryan Searle,CHC,LEVEL,22,15,0,0.53333333,0,0.07142857,0.07142857,0.07142857,0.14285714,0,2.642857143,0.16666667,0.00204126,-1.438974984,-3.273564935,0.065793284,-78.43578255,sa377586
2012,Ryan Searle,CHC,LEVEL,23,3,0,0.33333333,0,0,0,0,0,0,0.142857143,0,0,-0.41658333,-0.75546334,0,-100,sa377586
2014,Ryan Searle,CHC,LEVEL,25,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,-100,sa377586
2010,Anthony Seratelli,KCR,LEVEL,27,354,0.13841808,0.18361582,0.75384615,0.2541806,0.36079545,0.33444816,0.69524361,0.08026756,5.718840195,0.31330472,0.610275853,41.09743589,-0.681643424,0.329393908,98.36845753,sa378376
