Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2019,Chase Lambert,PIT,LEVEL,23,11,31,40,11,8,1,1,1,8,3,8,0,6,1,0,0,0,3,1,0.35483871,sa3007526
2019,Nick Matera,PHI,LEVEL,22,3,10,10,3,1,0,0,2,3,4,0,0,3,0,0,0,0,0,0,0.3,sa3007528
2018,Kiki Menendez,LAA,LEVEL,23,27,102,108,24,18,4,1,1,11,4,6,0,36,0,0,0,3,0,0,0.23529412,sa3007530
2019,Allan Winans,NYM,LEVEL,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa3007580
2019,Mark Moclair,HOU,LEVEL,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa3007592
2019,Christian Tripp,NYM,LEVEL,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa3007610
2019,Patrick Dorrian,PIT,LEVEL,23,64,219,255,56,30,17,3,6,39,31,28,0,64,4,3,1,1,8,2,0.25570776,sa3007629
2019,Max Burt,NYY,LEVEL,22,70,255,279,56,44,4,1,7,32,27,9,0,72,10,4,1,3,5,4,0.21960784,sa3007631
2019,D.J. Artis,CHC,LEVEL,22,49,176,215,47,32,13,0,2,35,21,29,1,52,7,1,2,1,14,4,0.26704545,sa3007632
2019,Triston Casas,BOS,LEVEL,19,118,422,493,107,58,25,5,19,64,78,58,3,116,7,6,0,11,3,2,0.2535545,sa3007634
2019,Kyle Gray,NYY,LEVEL,22,82,296,340,70,44,15,6,5,47,38,37,0,99,3,2,2,3,9,5,0.23648649,sa3007636
2018,Scott Schreiber,HOU,LEVEL,22,60,219,238,48,31,10,1,6,20,15,15,0,87,4,0,0,1,5,2,0.21917808,sa3007637
2019,Scott Schreiber,HOU,LEVEL,23,29,100,122,29,18,8,0,3,20,18,20,0,25,1,1,0,2,5,0,0.29,sa3007637
2019,Kyle Marinconz,WSN,LEVEL,23,106,372,429,92,65,20,2,5,58,39,45,0,76,6,3,3,9,13,6,0.24731183,sa3007638
2019,Nick Schnell,TBR,LEVEL,19,14,55,60,13,9,3,1,0,7,3,2,0,24,1,1,1,0,0,1,0.23636364,sa3007639
2019,Terrin Vavra,COL,LEVEL,22,102,374,453,119,76,32,1,10,79,52,62,1,62,2,9,6,5,18,9,0.31818182,sa3007643
2018,Brendan Venter,ATL,LEVEL,21,43,149,167,26,16,6,0,4,17,22,10,1,37,2,6,0,3,0,0,0.17449664,sa3007645
2019,Brendan Venter,ATL,LEVEL,22,84,277,325,61,35,20,0,6,31,32,22,1,98,23,2,1,7,0,0,0.22021661,sa3007645
2018,Clayton Daniel,CHC,LEVEL,23,36,127,138,30,22,8,0,0,18,9,9,0,20,0,2,0,4,1,1,0.23622047,sa3007646
2019,Clayton Daniel,CHC,LEVEL,24,43,160,193,49,37,9,1,2,35,17,29,0,20,2,1,1,8,2,1,0.30625,sa3007646
2019,Austin Dennis,HOU,LEVEL,22,105,396,444,95,72,15,5,3,60,41,38,0,78,6,4,0,9,23,7,0.23989899,sa3007650
2019,Kyle Mottice,PIT,LEVEL,23,53,171,222,54,46,8,0,0,39,19,26,0,25,22,0,3,1,18,7,0.31578947,sa3007655
2019,Thomas Ponticelli,CLE,LEVEL,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa3007730
2019,Jarred Kelenic,SEA,LEVEL,19,50,191,218,59,31,14,3,11,33,29,25,0,45,2,0,0,2,7,4,0.30890052,sa3007741
2019,Blaze Alexander,ARI,LEVEL,20,97,343,406,90,67,12,4,7,56,47,42,0,89,12,9,0,7,14,4,0.26239067,sa3007742
2019,Grant Lavigne,COL,LEVEL,19,126,440,526,104,78,19,0,7,52,64,68,1,129,9,5,4,10,8,9,0.23636364,sa3007743
2019,Brandon Howlett,BOS,LEVEL,19,113,390,465,90,58,23,1,8,48,35,56,0,144,12,5,2,4,1,5,0.23076923,sa3007745
2018,Mickey Gasper,NYY,LEVEL,22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa3007747
2019,Mickey Gasper,NYY,LEVEL,23,84,288,343,67,42,17,0,8,34,42,44,1,63,8,3,0,11,1,0,0.23263889,sa3007747
2019,Jimmy Smith,PHI,LEVEL,23,21,72,75,14,12,1,0,1,7,5,1,0,24,1,1,0,1,0,1,0.19444444,sa3007752
2019,Daniel Wasinger,ARI,LEVEL,23,7,26,30,3,2,1,0,0,1,1,3,0,7,1,0,0,1,0,0,0.11538462,sa3007785
2019,Sean Roby,SFG,LEVEL,20,19,75,79,14,5,5,1,3,11,13,4,0,30,0,0,0,4,0,0,0.18666667,sa3007788
2019,Connor Kaiser,PIT,LEVEL,22,79,280,343,56,36,12,1,7,44,36,51,0,77,5,2,5,6,4,2,0.2,sa3007823
2018,Connor Kaiser,PIT,LEVEL,21,16,63,69,19,16,2,0,1,7,8,4,1,15,0,1,1,2,0,1,0.3015873,sa3007823
2019,Willie MacIver,COL,LEVEL,22,117,425,480,107,64,27,3,13,60,60,34,1,105,11,6,4,9,12,4,0.25176471,sa3007828
2019,Eddy Demurias,CIN,LEVEL,21,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,sa3007852
2019,Blake Workman,ARI,LEVEL,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa3007856
2019,Mitchell Robinson,NYY,LEVEL,23,16,58,65,9,7,1,0,1,8,3,7,0,24,0,0,0,1,0,1,0.15517241,sa3007865
2018,Trey Dawson,HOU,LEVEL,21,12,37,46,6,6,0,0,0,7,2,8,0,14,1,0,0,1,0,1,0.16216216,sa3007868
2019,Trey Dawson,HOU,LEVEL,22,112,378,426,78,56,16,2,4,49,47,40,0,112,7,1,0,7,11,8,0.20634921,sa3007868
2019,Cody Roberts,BAL,LEVEL,23,51,166,192,40,35,4,1,0,20,21,21,0,43,1,4,0,5,0,0,0.24096386,sa3007869
2019,Connor Hollis,TBR,LEVEL,24,41,153,175,43,24,13,2,4,28,18,13,0,33,7,2,0,6,4,1,0.28104575,sa3007870
2019,Jake Slaughter,CHC,LEVEL,22,29,108,121,30,23,5,1,1,14,13,8,0,22,2,3,0,3,0,0,0.27777778,sa3007871
2018,Hunter Feduccia,LAD,LEVEL,21,31,100,119,29,23,6,0,0,6,9,15,2,31,1,2,1,5,1,0,0.29,sa3007872
2019,Hunter Feduccia,LAD,LEVEL,22,50,184,223,53,31,17,1,4,34,31,36,0,42,0,3,0,2,1,0,0.28804348,sa3007872
2019,Brennen Davis,CHC,LEVEL,19,50,177,204,54,34,9,3,8,33,30,18,0,38,5,2,2,3,4,1,0.30508475,sa3007876
2019,Jack Herman,PIT,LEVEL,19,75,265,300,68,41,12,2,13,47,34,28,0,88,6,1,0,4,6,6,0.25660377,sa3007877
2019,Tyler Durna,CHC,LEVEL,22,76,263,300,80,54,21,1,4,33,42,31,1,38,5,1,0,10,2,6,0.30418251,sa3007879
2018,Alvaro Rubalcaba,LAA,LEVEL,23,29,95,112,21,13,6,1,1,10,12,12,0,24,4,1,0,2,0,0,0.22105263,sa3007882
2019,Alvaro Rubalcaba,LAA,LEVEL,24,66,193,241,30,19,8,0,3,22,19,44,1,61,3,0,1,4,3,5,0.15544041,sa3007882
2019,Dylan Harris,CIN,LEVEL,24,14,45,51,6,6,0,0,0,2,0,5,0,7,1,0,0,1,0,1,0.13333333,sa3007918
2018,Eddie Silva,MIL,LEVEL,22,33,131,142,42,28,8,1,5,16,20,7,0,23,2,2,0,2,3,3,0.32061069,sa3007942
2019,Parker Meadows,DET,LEVEL,19,126,443,504,98,74,15,2,7,52,40,47,0,113,2,5,7,4,14,8,0.22121896,sa3007943
2018,Brandon Riley,STL,LEVEL,21,9,26,32,5,4,1,0,0,2,1,6,0,6,0,0,0,0,0,1,0.19230769,sa3007972
2019,Brandon Riley,STL,LEVEL,22,118,411,462,96,72,20,3,1,43,35,50,0,104,0,1,0,12,14,4,0.23357664,sa3007972
2018,Will Banfield,MIA,LEVEL,18,15,48,52,10,7,0,0,3,5,4,4,0,15,0,0,0,1,0,0,0.20833333,sa3007973
2019,Will Banfield,MIA,LEVEL,19,101,397,433,79,55,13,2,9,44,55,25,0,121,5,6,0,8,0,0,0.19899244,sa3007973
2019,Levi Jordan,CHC,LEVEL,23,66,231,256,51,39,10,1,1,28,16,19,0,48,3,0,3,2,5,3,0.22077922,sa3007976
2018,Kody Clemens,DET,LEVEL,22,41,149,174,45,29,10,2,4,18,17,21,1,27,1,2,1,2,3,1,0.30201342,sa3008002
2018,Alex McKenna,HOU,LEVEL,20,12,48,51,13,9,1,1,2,5,7,3,0,16,0,0,0,0,0,0,0.27083333,sa3008003
2019,Alex McKenna,HOU,LEVEL,21,65,238,266,60,51,7,1,1,22,20,20,0,77,7,1,0,5,7,9,0.25210084,sa3008003
2019,Luke Reynolds,CHC,LEVEL,24,22,77,89,20,15,2,1,2,10,3,11,0,22,1,0,0,2,0,0,0.25974026,sa3008004
2019,Justin Hagenman,LAD,LEVEL,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa3008022
2019,Kyle Datres,COL,LEVEL,23,96,315,379,90,44,27,4,15,70,46,47,1,81,12,1,4,3,20,7,0.28571429,sa3008029
2018,AJ Graffanino,ATL,LEVEL,20,37,143,153,43,34,8,0,1,19,11,8,0,24,0,2,0,4,4,3,0.3006993,sa3008030
2019,Grant Little,SDP,LEVEL,21,70,254,290,65,50,15,0,0,26,21,29,0,44,3,1,3,6,6,0,0.25590551,sa3008031
2019,Jordyn Adams,LAA,LEVEL,19,97,372,428,93,69,15,2,7,52,31,50,0,94,5,1,0,7,12,5,0.25,sa3008032
2018,Zach Rheams,NYM,LEVEL,21,45,155,176,35,19,8,0,8,19,25,15,0,48,5,1,0,2,0,0,0.22580645,sa3008050
2019,Zach Rheams,NYM,LEVEL,22,18,60,65,13,9,3,0,1,3,6,4,0,26,1,0,0,1,0,0,0.21666667,sa3008050
2019,Josh Breaux,NYY,LEVEL,21,51,199,216,54,31,10,0,13,28,49,15,0,59,1,1,0,3,0,0,0.27135678,sa3008051
2019,Sam McWilliams,LAD,LEVEL,21,22,81,89,16,10,5,0,1,6,7,7,0,26,1,0,0,0,1,0,0.19753086,sa3008053
2018,Madison Stokes,PHI,LEVEL,22,27,100,106,26,20,4,1,1,12,11,4,0,23,1,1,0,2,0,0,0.26,sa3008076
2018,Tristan Pompey,MIA,LEVEL,21,24,86,103,27,21,4,0,2,12,9,16,2,22,0,0,1,2,5,3,0.31395349,sa3008077
2019,Cody Farhat,CLE,LEVEL,22,33,117,132,28,14,6,4,4,12,16,7,0,41,7,1,0,3,5,1,0.23931624,sa3008078
2018,Connor Scott,MIA,LEVEL,18,23,76,89,16,13,2,0,1,4,5,10,0,27,0,2,1,0,1,3,0.21052632,sa3008080
2019,Connor Scott,MIA,LEVEL,19,95,378,413,95,63,24,4,4,56,36,31,1,91,2,0,1,2,21,9,0.25132275,sa3008080
2019,Michael Gretler,PIT,LEVEL,23,79,276,316,59,39,17,1,2,30,34,32,1,81,3,3,2,9,3,0,0.21376812,sa3008106
2018,Cesar Salazar,HOU,LEVEL,22,14,44,50,8,5,0,0,3,5,7,4,0,13,2,0,0,1,0,0,0.18181818,sa3008107
2019,Cesar Salazar,HOU,LEVEL,23,71,248,279,65,45,16,1,3,28,39,17,0,41,8,6,0,3,5,3,0.26209677,sa3008107
2018,Osiris Johnson,MIA,LEVEL,17,23,85,88,16,11,3,0,2,4,6,1,0,34,1,1,0,2,0,2,0.18823529,sa3008110
2019,Malcom Nunez,STL,LEVEL,18,21,71,77,13,12,1,0,0,5,5,5,0,15,1,0,0,1,0,0,0.18309859,sa3008113
2019,Isaiah Pasteur,NYY,LEVEL,23,13,46,52,7,5,0,1,1,8,4,4,0,24,2,0,0,0,5,2,0.15217391,sa3008138
2018,Cadyn Grenier,BAL,LEVEL,21,43,162,183,35,20,12,2,1,23,13,17,0,53,2,1,1,2,3,2,0.21604938,sa3008140
2019,Cadyn Grenier,BAL,LEVEL,22,82,308,364,78,50,18,3,7,49,39,48,0,107,5,3,0,2,5,1,0.25324675,sa3008140
2018,Deacon Liput,LAD,LEVEL,22,42,168,184,47,32,7,3,5,31,21,13,1,48,1,2,0,2,5,2,0.2797619,sa3008141
2019,Matt Pita,NYY,LEVEL,22,26,81,91,17,10,6,1,0,10,8,4,0,20,5,1,0,0,2,2,0.20987654,sa3008146
2018,Mike Spooner,CIN,LEVEL,21,3,11,12,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0.09090909,sa3008148
2019,Brendan Meyer,CLE,LEVEL,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa3008158
2018,Jonathan India,CIN,LEVEL,21,27,96,112,22,12,7,0,3,17,11,13,0,28,3,0,0,2,5,0,0.22916667,sa3008178
2019,Grant Koch,PIT,LEVEL,22,94,337,374,68,45,15,0,8,39,34,32,0,60,2,2,1,10,1,1,0.20178042,sa3008180
2019,Hunter Stovall,PHI,LEVEL,22,71,228,260,53,41,8,3,1,24,23,22,0,32,4,4,2,6,7,4,0.23245614,sa3008181
2019,Hunter Stovall,COL,LEVEL,22,18,57,70,16,8,7,1,0,9,2,12,0,12,1,0,0,5,1,3,0.28070175,sa3008181
2019,Michael Siani,CIN,LEVEL,19,121,466,531,118,96,10,6,6,75,39,46,1,109,10,1,8,7,45,15,0.25321888,sa3008182
2018,Jimmy Herron,CHC,LEVEL,21,33,110,130,27,22,2,0,3,12,17,12,3,24,4,3,1,3,1,3,0.24545455,sa3008183
2019,Cole Roederer,CHC,LEVEL,19,108,384,448,86,54,19,4,9,45,60,52,0,112,5,7,0,6,16,5,0.22395833,sa3008184
2019,Nick Horvath,BAL,LEVEL,22,113,375,443,75,49,17,2,7,53,40,53,0,113,10,3,2,3,17,8,0.2,sa3008186
2019,Korry Howell,MIL,LEVEL,20,91,293,335,69,52,12,3,2,35,22,37,0,94,4,0,1,4,19,8,0.23549488,sa3008238
2019,Beau Brundage,TBR,LEVEL,22,44,133,164,24,16,5,2,1,16,16,26,0,44,5,0,0,3,5,3,0.18045113,sa3008246
2019,Bo Naylor,CLE,LEVEL,19,107,399,453,97,58,18,10,11,60,65,43,1,104,1,7,3,8,7,5,0.24310777,sa3008247
2018,Michael Davis,MIN,LEVEL,22,42,143,150,42,23,9,1,9,25,28,6,1,47,1,0,0,2,1,0,0.29370629,sa3008248
2019,Michael Davis,MIN,LEVEL,23,21,64,76,17,10,6,1,0,8,8,11,0,19,0,1,0,1,2,0,0.265625,sa3008248
2019,Jax Biggers,TEX,LEVEL,22,76,255,300,72,60,8,2,2,42,24,34,0,39,3,3,5,4,12,6,0.28235294,sa3008251
2018,Luken Baker,STL,LEVEL,21,37,139,156,40,28,9,0,3,16,15,16,0,31,0,1,0,10,0,0,0.28776978,sa3008267
2019,Eric Cole,KCR,LEVEL,22,127,466,543,112,74,21,6,11,55,71,62,0,90,3,5,0,4,7,2,0.24034335,sa3008268
2019,Bryce Bush,CHW,LEVEL,19,67,254,288,51,29,12,5,5,29,33,27,0,92,4,3,0,6,4,1,0.2007874,sa3008278
2019,Caleb Knight,CHC,LEVEL,23,2,6,7,3,2,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0.5,sa3008279
2018,Michael Helman,MIN,LEVEL,22,27,107,118,38,29,6,1,2,20,15,6,0,14,3,2,0,2,4,5,0.35514019,sa3008280
2019,Andy Weber,CHC,LEVEL,21,127,487,544,134,87,36,8,3,65,59,43,4,110,5,4,5,5,5,0,0.275154,sa3008282
2019,Tre Todd,LAD,LEVEL,22,10,30,39,3,1,1,0,1,3,3,7,0,11,1,1,0,2,2,0,0.1,sa3008283
2019,Zack Kone,PIT,LEVEL,22,76,269,303,50,38,9,1,2,28,15,30,0,94,2,2,0,2,5,2,0.18587361,sa3008293
2019,Brice Turang,MIL,LEVEL,19,82,303,357,87,68,13,4,2,57,31,49,2,54,1,4,0,2,21,4,0.28712871,sa3008294
2019,Drew Fregia,BAL,LEVEL,22,19,65,72,11,10,1,0,0,6,2,6,0,28,1,0,0,0,4,1,0.16923077,sa3008295
2018,Steele Walker,CHW,LEVEL,21,31,113,126,21,13,5,0,3,13,17,8,0,29,2,3,0,3,5,1,0.18584071,sa3008306
2019,Steele Walker,CHW,LEVEL,22,20,74,87,27,14,10,3,0,6,11,8,0,15,3,2,0,0,4,2,0.36486486,sa3008306
2018,Tim DalPorto,SFG,LEVEL,22,3,7,9,2,2,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0.28571429,sa3008317
2019,LeeMarcus Boyd,COL,LEVEL,23,17,57,61,14,8,4,0,2,9,12,2,0,10,1,0,1,3,1,1,0.24561404,sa3008318
2019,Edmond Americaan,CHC,LEVEL,22,8,25,30,4,3,1,0,0,0,0,3,0,9,1,0,1,0,0,0,0.16,sa3008341
2018,Trevor Larnach,MIN,LEVEL,21,24,91,102,27,15,8,1,3,17,10,11,0,17,0,0,0,1,1,0,0.2967033,sa3008376
2019,Logan Gillaspie,MIL,LEVEL,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa3008386
2019,JJ Schwarz,OAK,LEVEL,23,24,78,92,14,10,1,0,3,6,11,10,0,21,1,3,0,3,0,0,0.17948718,sa3008391
2019,Jett Manning,SFG,LEVEL,22,11,38,41,7,4,3,0,0,3,1,2,0,15,1,0,0,0,1,1,0.18421053,sa3008409
2019,Zander Clarke,SFG,LEVEL,23,21,75,86,15,8,6,0,1,5,17,9,0,29,0,2,0,0,0,0,0.2,sa3008431
2019,Nick Osborne,OAK,LEVEL,22,67,246,275,59,32,19,1,7,26,38,23,0,87,1,5,0,9,6,5,0.2398374,sa3008463
2019,Michael Stefanic,LAA,LEVEL,23,22,72,80,24,18,5,1,0,5,10,6,0,8,2,0,0,4,2,2,0.33333333,sa3008479
2019,Lester Madden,OAK,LEVEL,20,105,391,420,83,58,19,4,2,43,38,22,0,118,5,1,1,5,5,6,0.21227621,sa3008603
2019,D.C. Arendas,LAA,LEVEL,25,56,184,222,37,18,9,4,6,24,24,31,0,69,5,2,0,1,2,0,0.20108696,sa3008616
2019,Gerson Molina,NYM,LEVEL,23,93,290,326,67,42,19,2,4,44,24,28,0,106,6,0,2,3,6,5,0.23103448,sa3008657
2019,Taylor Lane,NYM,LEVEL,23,19,54,62,8,6,2,0,0,8,1,7,0,15,1,0,0,3,0,0,0.14814815,sa3009760
2019,Utah Jones,SEA,LEVEL,23,12,44,48,7,4,3,0,0,3,2,4,0,13,0,0,0,0,0,0,0.15909091,sa3009832
2019,Evan Edwards,MIA,LEVEL,22,68,256,288,73,50,14,1,8,32,48,28,0,74,3,1,0,2,3,0,0.28515625,sa3009866
2019,Morgan McCullough,LAA,LEVEL,21,13,38,49,7,6,1,0,0,2,2,9,0,9,2,0,0,0,0,1,0.18421053,sa3009868
2019,Austin Shenton,SEA,LEVEL,21,32,119,134,30,17,7,1,5,13,20,11,1,29,3,1,0,1,0,0,0.25210084,sa3009869
2019,Peyton Burdick,MIA,LEVEL,22,63,238,288,73,40,20,3,10,57,59,32,0,67,12,5,0,11,6,6,0.30672269,sa3009876
2019,Robert Metz,COL,LEVEL,22,5,14,17,5,4,1,0,0,2,0,2,0,3,0,0,1,0,1,0,0.35714286,sa3009877
2019,Cameron Simmons,CHW,LEVEL,22,32,103,116,25,16,6,0,3,9,14,8,0,37,2,3,0,1,4,3,0.24271845,sa3009955
2019,Tyler Osik,CHW,LEVEL,22,26,97,108,27,11,10,1,5,14,19,10,0,30,1,0,0,2,0,1,0.27835052,sa3010017
2019,Kody Hoese,LAD,LEVEL,21,22,91,103,24,18,3,1,2,15,16,8,0,14,2,2,0,1,0,0,0.26373626,sa3010021
2019,Brandon Lewis,LAD,LEVEL,20,12,48,53,8,5,2,0,1,9,5,4,0,15,1,0,0,1,0,0,0.16666667,sa3010035
2019,AJ Lee,HOU,LEVEL,22,15,41,47,6,5,1,0,0,0,4,5,0,20,1,0,0,1,1,1,0.14634146,sa3010146
2019,Anthony Lepre,SEA,LEVEL,22,5,16,17,1,1,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0.0625,sa3010150
2019,CJ Abrams,SDP,LEVEL,18,2,8,9,2,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0.25,sa3010152
2019,Zach Biermann,HOU,LEVEL,22,19,62,67,12,6,4,0,2,7,8,2,0,26,3,0,0,2,0,0,0.19354839,sa3010158
2019,Ripken Reyes,SDP,LEVEL,22,16,49,59,14,10,2,1,1,5,4,5,0,5,4,1,0,0,0,0,0.28571429,sa3010159
2019,Chris Givin,SDP,LEVEL,22,13,42,49,7,4,3,0,0,3,5,4,0,9,2,1,0,1,1,0,0.16666667,sa3010161
2019,Ike Freeman,CLE,LEVEL,21,12,39,45,4,4,0,0,0,4,4,4,0,13,1,1,0,0,0,1,0.1025641,sa3010167
2019,Chase Barbary,LAD,LEVEL,22,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,sa3010173
2019,Ethan Skender,SDP,LEVEL,22,41,153,170,42,33,6,1,2,23,25,12,0,30,5,0,0,4,4,1,0.2745098,sa3010268
2019,Grae Kessinger,HOU,LEVEL,21,50,170,201,38,30,6,0,2,25,17,26,2,32,3,2,0,2,8,2,0.22352941,sa3010327
2019,C.J. Stubbs,HOU,LEVEL,22,16,58,62,19,10,5,0,4,7,16,3,0,15,1,0,0,0,2,2,0.32758621,sa3010328
2019,Shea Langeliers,ATL,LEVEL,21,54,216,239,55,40,13,0,2,27,34,17,0,55,2,4,0,5,0,0,0.25462963,sa3010329
2019,Braden Shewmake,ATL,LEVEL,21,51,201,226,64,41,18,2,3,37,39,21,0,29,3,1,0,3,11,3,0.31840796,sa3010332
2019,Jackson Cluff,WSN,LEVEL,22,62,240,280,55,37,8,5,5,33,19,26,0,63,8,4,2,1,11,5,0.22916667,sa3010342
2019,Nelson Maldonado,CHC,LEVEL,22,33,132,141,41,32,6,2,1,20,17,8,1,20,0,1,0,4,0,0,0.31060606,sa3010389
2019,Nick Quintana,DET,LEVEL,21,41,146,162,23,16,5,1,1,14,13,13,0,51,1,2,0,1,3,1,0.15753425,sa3010390
2019,Zac Taylor,CHC,LEVEL,23,4,16,17,4,3,1,0,0,0,3,1,0,4,0,0,0,0,0,0,0.25,sa3010391
2019,Darius Hill,CHC,LEVEL,21,21,85,94,19,14,4,0,1,10,3,7,0,8,0,0,2,1,1,1,0.22352941,sa3010395
2019,Andre Lipcius,DET,LEVEL,21,67,253,283,69,51,16,0,2,32,29,27,0,57,1,1,1,5,3,2,0.27272727,sa3010401
2019,Nate Hadley,MIN,LEVEL,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa3010553
2019,McCarthy Tatum,PHI,LEVEL,23,43,159,176,37,24,10,1,2,15,15,16,0,52,0,1,0,2,3,2,0.2327044,sa3010582
2019,Cooper Johnson,DET,LEVEL,21,27,84,103,15,9,4,0,2,13,11,15,0,28,3,1,0,5,2,0,0.17857143,sa3010584
2019,Spencer Steer,MIN,LEVEL,21,44,173,201,45,29,12,2,2,26,20,19,0,28,8,1,0,2,5,1,0.26011561,sa3010586
2019,Bryant Packard,DET,LEVEL,21,23,81,94,25,16,6,0,3,14,12,13,0,24,0,0,0,1,1,0,0.30864198,sa3010590
2019,Oliver Dunn,NYY,LEVEL,21,37,118,140,26,20,5,0,1,13,11,19,0,35,1,1,1,2,3,5,0.22033898,sa3010595
2019,Corey Joyce,DET,LEVEL,20,13,50,55,9,7,2,0,0,6,1,4,0,15,1,0,0,1,0,0,0.18,sa3010596
2019,Jake Hirabayashi,MIN,LEVEL,22,4,14,15,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,sa3010681
2019,Michael Harris,ATL,LEVEL,18,22,82,93,15,12,2,1,0,11,11,9,0,22,1,1,0,2,3,0,0.18292683,sa3010684
2019,Riley Greene,DET,LEVEL,18,24,96,108,21,15,2,2,2,13,13,6,0,26,3,3,0,2,4,0,0.21875,sa3010694
2019,Kyle Schmidt,MIN,LEVEL,21,11,38,42,2,1,1,0,0,0,1,3,0,13,0,1,0,1,0,1,0.05263158,sa3010707
2019,Andres Alvarez,PIT,LEVEL,22,5,14,16,2,2,0,0,0,2,0,2,0,4,0,0,0,1,0,0,0.14285714,sa3010710
2019,Jack Kenley,DET,LEVEL,21,31,104,122,20,11,6,0,3,10,10,9,0,38,6,1,1,0,3,1,0.19230769,sa3010718
2019,Nick Conti,NYM,LEVEL,22,15,54,64,13,8,3,1,1,7,5,8,0,16,1,1,0,1,2,1,0.24074074,sa3010844
2019,Chase Strumpf,CHC,LEVEL,21,6,24,28,3,1,1,0,1,3,2,1,0,7,2,1,0,1,0,0,0.125,sa3010845
2019,Shayne Fontana,BAL,LEVEL,22,17,63,71,16,8,5,3,0,10,8,6,0,15,2,0,0,2,3,1,0.25396825,sa3010897
2019,Andrew Vaughn,CHW,LEVEL,21,23,83,103,21,12,7,0,2,14,11,14,0,18,5,1,0,6,0,0,0.25301205,sa3011226
2019,Mike Salvatore,SEA,LEVEL,22,42,149,166,26,20,5,0,1,15,10,12,0,29,1,4,0,2,1,0,0.17449664,sa3011254
2019,Drew Mendoza,WSN,LEVEL,21,55,201,239,53,37,12,0,4,23,25,34,0,57,3,1,0,1,3,0,0.26368159,sa3011256
2019,Tyler Fitzgerald,SFG,LEVEL,21,19,72,83,19,16,3,0,0,11,9,8,0,17,0,1,2,0,4,0,0.26388889,sa3011257
2019,Zach Watson,BAL,LEVEL,22,16,60,68,13,5,5,0,3,9,8,6,0,13,1,1,0,1,0,0,0.21666667,sa3011258
2019,Logan Wyatt,SFG,LEVEL,21,19,60,76,14,10,3,0,1,9,9,12,0,14,2,2,0,2,0,0,0.23333333,sa3011259
2019,Drew Campbell,ATL,LEVEL,21,28,107,114,24,18,4,1,1,8,7,5,0,14,0,0,2,1,1,1,0.22429907,sa3011264
2019,Thomas Dillard,MIL,LEVEL,21,51,171,216,42,30,6,0,6,27,24,43,0,50,1,1,0,2,7,0,0.24561404,sa3011308
2019,Cameron Warren,CIN,LEVEL,24,42,148,168,35,26,7,0,2,18,13,16,0,30,2,1,1,4,0,0,0.23648649,sa3011378
2019,Connor Blair,ATL,LEVEL,21,6,19,21,2,0,1,0,1,2,2,2,0,6,0,0,0,0,1,0,0.10526316,sa3011382
2019,Josh Jung,TEX,LEVEL,21,40,157,179,45,31,13,0,1,18,23,16,1,29,4,2,0,2,4,1,0.2866242,sa3011468
2019,Michael Busch,LAD,LEVEL,21,5,11,19,2,2,0,0,0,4,2,6,0,3,1,1,0,0,0,0,0.18181818,sa3011540
2019,Adley Rutschman,BAL,LEVEL,21,12,39,47,6,3,1,0,2,5,8,6,0,9,0,1,0,2,0,0,0.15384615,sa3011643
2019,Kameron Misner,MIA,LEVEL,21,34,134,158,37,28,7,0,2,25,20,21,0,35,2,1,0,2,8,0,0.2761194,sa3011656
2019,James Nix,HOU,LEVEL,21,3,10,12,0,0,0,0,0,1,0,2,0,3,0,0,0,1,0,0,0,sa3011705
2019,Caleb Ricca,SEA,LEVEL,21,10,35,37,4,3,0,0,1,3,1,2,0,17,0,0,0,0,1,0,0.11428571,sa3011738
2008,Tayler Creswell,SFG,LEVEL,21,13,40,45,8,7,1,0,0,5,3,4,0,14,1,0,0,0,3,1,0.2,sa302339
2006,Daniel Figueroa,BAL,LEVEL,23,7,18,22,5,4,1,0,0,3,1,4,0,4,0,0,0,0,2,1,0.27777778,sa302344
