Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2014,Ryan Tuntland,SFG,LEVEL,23,65,205,235,40,24,14,1,1,24,17,28,0,76,2,0,0,2,0,2,0.19512195,sa738594
2016,Christian Ibarra,MIN,LEVEL,23,35,125,147,33,24,6,1,2,17,13,20,0,23,2,0,0,2,0,0,0.264,sa738608
2014,Mike Fish,LAA,LEVEL,23,110,428,469,108,68,25,6,9,51,57,30,0,78,5,4,2,12,8,3,0.25233645,sa738617
2018,Kacy Clemens,TOR,LEVEL,23,27,93,119,28,14,5,2,7,25,25,25,0,22,1,0,0,2,1,1,0.30107527,sa738624
2014,Kale Sumner,NYY,LEVEL,23,46,129,174,30,22,3,1,4,19,18,39,0,41,2,1,3,1,2,0,0.23255814,sa738625
2017,Ronnie Gideon,MIL,LEVEL,22,113,390,438,89,46,28,1,14,42,55,39,1,133,4,5,0,9,6,4,0.22820513,sa738630
2014,David Harris,TOR,LEVEL,22,59,224,241,57,38,10,3,6,36,27,7,0,62,8,0,2,9,8,5,0.25446429,sa738643
2015,David Harris,TOR,LEVEL,23,55,211,234,59,39,13,3,4,31,28,15,0,54,4,4,0,4,5,3,0.27962085,sa738643
2016,Brandon Brosher,NYM,LEVEL,21,12,30,38,5,4,0,0,1,3,2,8,0,11,0,0,0,0,3,0,0.16666667,sa738646
2017,Brandon Brosher,NYM,LEVEL,22,67,217,261,48,28,7,0,13,28,31,30,1,103,12,1,0,2,8,3,0.22119816,sa738646
2015,John Riley,SFG,LEVEL,21,39,135,155,28,19,5,3,1,13,9,15,0,54,3,0,2,7,0,0,0.20740741,sa738650
2018,John Riley,SFG,LEVEL,24,17,57,65,18,9,4,1,4,11,20,7,0,19,0,1,0,2,1,0,0.31578947,sa738650
2017,Johnny Slater,SEA,LEVEL,21,52,177,201,38,27,6,3,2,17,9,18,1,54,2,1,3,0,5,4,0.21468927,sa738653
2019,Johnny Slater,SEA,LEVEL,23,26,81,95,12,4,5,2,1,9,5,10,0,38,3,0,1,0,2,2,0.14814815,sa738653
2014,Nick Ferdinand,PHI,LEVEL,24,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa738660
2014,Willie Medina,WSN,LEVEL,23,44,111,134,23,22,0,1,0,13,5,12,0,17,4,3,4,1,13,5,0.20720721,sa738661
2018,Torii Hunter Jr.,LAA,LEVEL,23,97,381,433,97,73,14,8,2,59,27,44,0,106,4,4,0,4,24,6,0.25459318,sa738667
2014,Vaughn Bryan,STL,LEVEL,21,83,317,350,83,56,17,9,1,47,15,27,1,73,3,0,3,12,11,7,0.26182965,sa738672
2015,Vaughn Bryan,STL,LEVEL,22,24,92,98,25,18,6,1,0,8,8,5,0,27,1,0,0,1,3,1,0.27173913,sa738672
2016,Vaughn Bryan,STL,LEVEL,23,52,183,202,38,27,9,2,0,22,13,17,0,58,0,1,1,4,4,3,0.20765027,sa738672
2019,Cooper Goldby,OAK,LEVEL,24,10,29,33,5,4,1,0,0,1,2,4,0,7,0,0,0,1,1,0,0.17241379,sa738676
2017,Luke Persico,OAK,LEVEL,21,117,446,502,116,82,25,4,5,61,64,46,1,80,2,7,1,11,7,4,0.26008969,sa738678
2017,Buddy Reed,SDP,LEVEL,22,88,316,347,74,43,17,8,6,48,35,23,1,97,3,3,1,3,12,8,0.23417722,sa738683
2015,Angel Perez,ATL,LEVEL,20,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,sa738689
2014,Brett Thomas,SEA,LEVEL,22,39,132,154,33,28,5,0,0,16,11,20,0,35,0,1,1,3,2,1,0.25,sa738695
2014,Adam Landecker,PIT,LEVEL,23,37,119,133,29,22,7,0,0,19,11,8,0,19,1,2,3,1,0,3,0.24369748,sa738699
2014,Toby Thomas,CHW,LEVEL,20,25,93,103,20,10,7,1,2,11,12,7,1,20,1,1,1,2,0,2,0.21505376,sa738704
2015,Toby Thomas,CHW,LEVEL,21,69,254,270,64,47,11,3,3,29,33,13,0,54,0,2,0,6,3,3,0.2519685,sa738704
2013,Curt Powell,DET,LEVEL,22,4,14,16,5,5,0,0,0,3,0,1,0,2,1,0,0,0,2,0,0.35714286,sa738708
2014,Curt Powell,DET,LEVEL,23,8,34,34,9,7,1,1,0,1,2,0,0,4,0,0,0,3,0,0,0.26470588,sa738708
2017,JaVon Shelby,OAK,LEVEL,22,114,374,422,74,52,14,0,8,40,39,41,1,164,4,2,1,8,7,8,0.19786096,sa738714
2018,JaVon Shelby,OAK,LEVEL,23,26,93,100,11,5,1,2,3,12,10,6,0,48,1,0,0,1,5,0,0.11827957,sa738714
2014,Justin Viele,BAL,LEVEL,23,29,97,109,13,10,3,0,0,10,9,7,0,30,4,0,1,1,2,2,0.13402062,sa738726
2016,Francis Christy,ARI,LEVEL,20,59,201,224,49,34,11,2,2,20,17,22,0,61,0,1,0,1,0,3,0.24378109,sa738727
2017,Francis Christy,ARI,LEVEL,21,21,78,79,14,13,1,0,0,7,2,1,0,25,0,0,0,1,3,0,0.17948718,sa738727
2017,Willie Abreu,COL,LEVEL,22,119,477,512,135,83,32,6,14,73,78,26,0,93,2,3,4,11,40,9,0.28301887,sa738883
2013,Riley Good,LAA,LEVEL,21,41,142,157,32,31,1,0,0,13,6,9,1,32,2,2,2,1,0,3,0.22535211,sa738888
2013,Ryan Miller,SDP,LEVEL,20,3,6,7,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.16666667,sa738892
2014,Ryan Miller,SDP,LEVEL,21,87,305,337,74,48,14,0,12,38,37,19,1,69,9,2,2,5,1,1,0.24262295,sa738892
2014,L.B. Dantzler,TOR,LEVEL,23,43,161,191,40,28,8,1,3,22,35,25,1,21,2,3,0,4,0,0,0.2484472,sa738895
2014,Jake Romanski,BOS,LEVEL,23,78,300,331,81,62,16,2,1,30,44,24,1,39,1,3,3,11,10,5,0.27,sa738897
2015,Silento Sayles,CLE,LEVEL,19,16,53,64,15,10,5,0,0,6,6,4,0,14,2,2,3,0,0,1,0.28301887,sa738898
2016,Silento Sayles,CLE,LEVEL,20,18,64,72,12,9,3,0,0,6,1,5,0,21,3,0,0,0,4,4,0.1875,sa738898
2014,Ronnie Mitchell,HOU,LEVEL,23,72,249,284,71,45,12,1,13,39,46,29,3,64,2,3,1,4,5,6,0.28514056,sa738900
2017,Trever Morrison,MIL,LEVEL,22,93,299,345,61,37,17,2,5,48,27,29,0,110,10,1,6,5,8,4,0.20401338,sa738906
2018,Trever Morrison,MIL,LEVEL,23,54,198,225,50,42,8,0,0,22,23,18,1,58,3,3,3,2,8,2,0.25252525,sa738906
2014,Danny Bethea,BOS,LEVEL,24,17,62,66,18,16,0,0,2,9,7,4,0,9,0,0,0,2,0,1,0.29032258,sa738923
2015,Danny Bethea,BOS,LEVEL,25,22,72,83,18,14,4,0,0,8,10,7,0,13,2,2,0,1,0,0,0.25,sa738923
2017,Taylor Snyder,COL,LEVEL,22,98,349,377,80,47,21,1,11,39,37,16,1,106,7,2,3,4,17,9,0.22922636,sa738930
2018,Taylor Snyder,COL,LEVEL,23,84,284,321,75,42,22,3,8,33,39,24,0,87,4,6,3,1,8,6,0.26408451,sa738930
2016,Connor Goedert,HOU,LEVEL,22,69,255,278,55,31,19,0,5,23,33,17,0,77,0,6,0,2,0,4,0.21568627,sa738933
2014,Blake McKnight,STL,LEVEL,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa738934
2018,Harrison Wenson,LAA,LEVEL,23,58,185,221,21,11,4,0,6,21,17,27,0,101,5,0,3,3,4,0,0.11351351,sa738936
2019,Harrison Wenson,LAA,LEVEL,24,78,257,308,49,20,17,0,12,38,44,44,0,119,6,1,0,2,2,1,0.19066148,sa738936
2015,Nick Lomascolo,STL,LEVEL,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa738940
2014,Eric Aguilera,LAA,LEVEL,23,124,469,524,137,97,22,4,14,59,71,35,2,101,7,12,1,12,17,3,0.29211087,sa738943
2017,Jacob Heyward,SFG,LEVEL,21,107,359,412,80,54,16,0,10,40,45,42,0,110,8,1,2,10,5,7,0.22284123,sa738955
2017,Caleb Hamilton,MIN,LEVEL,22,92,307,367,68,37,18,4,9,51,42,54,0,97,3,2,1,7,3,4,0.22149837,sa738961
2017,Brock Carpenter,LAD,LEVEL,22,7,23,26,6,5,0,0,1,2,3,3,0,9,0,0,0,1,1,0,0.26086957,sa738974
2018,Brock Carpenter,LAD,LEVEL,23,50,176,196,43,24,11,4,4,19,17,19,0,61,1,0,0,4,2,1,0.24431818,sa738974
2017,Mark Karaviotis,ARI,LEVEL,21,57,202,236,62,46,13,1,2,35,21,21,0,54,11,2,0,2,1,0,0.30693069,sa738977
2017,Brandon Wagner,NYY,LEVEL,21,110,372,439,103,75,20,1,7,55,51,57,2,116,7,3,0,8,1,0,0.27688172,sa738979
2017,Ryan Lidge,NYY,LEVEL,22,16,47,58,18,17,1,0,0,2,5,9,0,9,2,0,0,0,0,0,0.38297872,sa738984
2018,Ryan Lidge,NYY,LEVEL,23,9,29,31,3,3,0,0,0,1,1,2,0,7,0,0,0,2,0,0,0.10344828,sa738984
2019,Ryan Lidge,NYY,LEVEL,24,17,58,67,18,14,3,0,1,7,6,9,0,19,0,0,0,0,0,2,0.31034483,sa738984
2014,Kevin Herget,STL,LEVEL,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa738986
2017,Anfernee Grier,ARI,LEVEL,21,123,475,547,119,92,20,3,4,69,36,58,0,114,8,3,3,9,30,11,0.25052632,sa738988
