"","season","name","team","age","w","l","g","gs","sv","bs","ip","babip","h","r","er","hr","bb","so","fip","war","player_id","year_in_mlb","sum_yrs"
"882",1906,"Cy Young","BOS",39,13,21,39,34,2,NA,287.2,0.298,288,137,102,3,25,140,1.79,5.8,1014369,17,210
"883",1907,"Cy Young","BOS",40,21,15,43,37,2,NA,343.1,0.256,286,101,76,3,51,147,1.88,5.8,1014369,18,210
"884",1908,"Cy Young","BOS",41,21,11,36,33,2,NA,299,0.248,230,68,42,1,37,150,1.51,6.4,1014369,19,210
"885",1909,"Cy Young","CLE",42,19,15,35,34,0,NA,295,0.267,267,110,74,4,59,109,2.25,3.3,1014369,20,210
"886",2007,"Daisuke Matsuzaka","BOS",26,15,12,32,32,0,0,204.2,0.299,191,100,100,25,80,201,4.23,2.9,7775,1,15
"887",2008,"Daisuke Matsuzaka","BOS",27,18,3,29,29,0,0,167.2,0.258,128,58,54,12,94,154,4.03,2.8,7775,2,15
"888",2009,"Daisuke Matsuzaka","BOS",28,4,6,12,12,0,0,59.1,0.38,81,38,38,10,30,54,5.09,0.3,7775,3,15
"889",2010,"Daisuke Matsuzaka","BOS",29,9,6,25,25,0,0,153.2,0.284,137,84,80,13,74,133,4.05,2.1,7775,4,15
"890",2011,"Daisuke Matsuzaka","BOS",30,3,3,8,7,0,0,37.1,0.248,32,24,22,4,23,26,4.95,0.2,7775,5,15
"891",2012,"Dallas Keuchel","HOU",24,3,8,16,16,0,0,85.1,0.277,93,56,50,14,39,38,5.74,-0.5,9434,1,15
"892",2013,"Dallas Keuchel","HOU",25,6,10,31,22,0,0,153.2,0.34,184,96,88,20,52,123,4.25,1.1,9434,2,15
"893",2014,"Dallas Keuchel","HOU",26,12,9,29,29,0,0,200,0.295,187,71,65,11,48,146,3.21,3.5,9434,3,15
"894",2015,"Dallas Keuchel","HOU",27,20,8,33,33,0,0,232,0.269,185,68,64,17,51,216,2.91,5.7,9434,4,15
"895",2016,"Dallas Keuchel","HOU",28,9,12,26,26,0,0,168,0.304,168,88,85,20,48,144,3.87,2.4,9434,5,15
"896",1979,"Dan Petry","DET",20,6,5,15,15,0,NA,98,0.255,90,46,43,11,33,43,4.45,1.1,1010246,1,15
"897",1980,"Dan Petry","DET",21,10,9,27,25,0,NA,164.2,0.275,156,82,72,9,83,88,3.92,2.5,1010246,2,15
"898",1981,"Dan Petry","DET",22,10,9,23,22,0,NA,141,0.241,115,53,47,10,57,79,3.64,2.1,1010246,3,15
"899",1982,"Dan Petry","DET",23,15,9,35,35,0,NA,246,0.263,220,98,88,15,100,132,3.7,4.4,1010246,4,15
"900",1983,"Dan Petry","DET",24,19,11,38,38,0,NA,266.1,0.257,256,126,116,37,99,122,4.83,1.3,1010246,5,15
"901",1984,"Dan Petry","DET",25,18,8,35,35,0,NA,233.1,0.286,231,94,84,21,66,144,3.59,4.2,1010246,6,55
"902",1985,"Dan Petry","DET",26,15,13,34,34,0,NA,238.2,0.223,190,98,89,24,81,109,4.13,2.9,1010246,7,55
"903",1986,"Dan Petry","DET",27,5,10,20,20,0,NA,116,0.274,122,78,60,15,53,56,4.99,0.4,1010246,8,55
"904",1987,"Dan Petry","DET",28,9,7,30,21,0,NA,134.2,0.295,148,101,84,22,76,93,5.53,0.1,1010246,9,55
"905",1988,"Dan Petry","CAL",29,3,9,22,22,0,NA,139.2,0.265,139,70,68,18,59,64,4.92,0.3,1010246,10,55
"906",2004,"Daniel Cabrera","BAL",23,12,8,28,27,1,0,147.2,0.272,145,85,82,14,89,76,5.1,1.3,1931,1,15
"907",2005,"Daniel Cabrera","BAL",24,10,13,29,29,0,0,161.1,0.291,144,92,81,14,87,157,4.02,2.5,1931,2,15
"908",2006,"Daniel Cabrera","BAL",25,9,10,26,26,0,0,148,0.309,130,82,78,11,104,157,4.2,2.6,1931,3,15
"909",2007,"Daniel Cabrera","BAL",26,9,18,34,34,0,0,204.1,0.299,207,133,126,25,108,166,5.01,1.7,1931,4,15
"910",2008,"Daniel Cabrera","BAL",27,8,10,30,30,0,0,180,0.295,199,109,105,24,90,95,5.61,0.1,1931,5,15
"911",1983,"Danny Cox","STL",23,3,6,12,12,0,NA,83,0.3,92,38,30,6,23,36,3.66,1,1002695,1,15
"912",1984,"Danny Cox","STL",24,9,11,29,27,0,NA,156.1,0.307,171,81,70,9,54,70,3.79,1.3,1002695,2,15
"913",1985,"Danny Cox","STL",25,18,9,35,35,0,NA,241,0.268,226,91,77,19,64,131,3.46,3.2,1002695,3,15
"914",1986,"Danny Cox","STL",26,12,13,32,32,0,NA,220,0.251,189,85,71,14,60,108,3.46,3.1,1002695,4,15
"915",1987,"Danny Cox","STL",27,11,9,31,31,0,NA,199.1,0.308,224,99,86,17,71,101,4.08,2.2,1002695,5,15
"916",2013,"Danny Salazar","CLE",23,2,3,10,10,0,0,52,0.298,44,18,18,7,15,65,3.16,1.2,5867,1,15
"917",2014,"Danny Salazar","CLE",24,6,8,20,20,0,0,110,0.343,117,57,52,13,35,120,3.52,1.8,5867,2,15
"918",2015,"Danny Salazar","CLE",25,14,10,30,30,0,0,185,0.278,156,79,71,23,53,195,3.62,3,5867,3,15
"919",2016,"Danny Salazar","CLE",26,11,6,25,25,0,0,137.1,0.307,121,61,59,16,63,161,3.74,2.5,5867,4,15
"920",2017,"Danny Salazar","CLE",27,5,6,23,19,0,0,103,0.343,94,51,49,14,44,145,3.48,2.1,5867,5,15
"921",1991,"Darryl Kile","HOU",22,7,11,37,22,0,NA,153.2,0.265,144,81,63,16,84,100,4.66,0,1163,1,15
"922",1992,"Darryl Kile","HOU",23,5,10,22,22,0,NA,125.1,0.298,124,61,55,8,63,90,3.78,0.8,1163,2,15
"923",1993,"Darryl Kile","HOU",24,15,8,32,26,0,NA,171.2,0.282,152,73,67,12,69,141,3.72,2.4,1163,3,15
"924",1994,"Darryl Kile","HOU",25,9,6,24,24,0,NA,147.2,0.308,153,84,75,13,82,105,4.7,0.8,1163,4,15
"925",1995,"Darryl Kile","HOU",26,4,12,25,21,0,NA,127,0.296,114,81,70,5,73,113,3.84,1.7,1163,5,15
"926",1996,"Darryl Kile","HOU",27,12,11,35,33,0,NA,219,0.346,233,113,102,16,97,219,3.67,3.7,1163,6,55
"927",1997,"Darryl Kile","HOU",28,19,7,34,34,0,NA,255.2,0.26,208,87,73,19,94,205,3.69,4,1163,7,55
"928",1998,"Darryl Kile","COL",29,13,17,36,35,0,NA,230.1,0.313,257,141,133,28,96,158,4.69,3.2,1163,8,55
"929",1999,"Darryl Kile","COL",30,8,13,32,32,0,NA,190.2,0.308,225,150,140,33,109,116,5.98,0.9,1163,9,55
"930",2000,"Darryl Kile","STL",31,20,9,34,34,0,NA,232.1,0.274,215,109,101,33,58,192,4.24,4.3,1163,10,55
"931",2004,"Dave Bush","TOR",24,5,4,16,16,0,0,97.2,0.275,95,47,40,11,25,64,4.15,1.9,4635,1,15
"932",2005,"Dave Bush","TOR",25,5,11,25,24,0,0,136.1,0.279,142,73,68,20,29,75,4.75,1.2,4635,2,15
"933",2006,"Dave Bush","MIL",26,12,11,34,32,0,0,210,0.282,201,111,103,26,38,166,3.98,3.8,4635,3,15
"934",2007,"Dave Bush","MIL",27,12,10,33,31,0,0,186.1,0.32,217,110,106,27,44,134,4.57,2.2,4635,4,15
"935",2008,"Dave Bush","MIL",28,9,10,31,29,0,0,185,0.236,163,92,86,29,48,109,4.93,1.3,4635,5,15
"936",1914,"Dave Davenport","- - -",24,10,15,43,32,6,NA,269.2,0.285,242,118,98,4,110,164,2.64,3.7,1003016,1,15
"937",1915,"Dave Davenport","SLT",25,22,18,55,46,1,NA,392.2,0.251,300,116,96,5,96,229,2.14,8.6,1003016,2,15
"938",1916,"Dave Davenport","SLB",26,12,11,59,31,2,NA,290.2,0.29,267,112,92,4,100,129,2.72,2.7,1003016,3,15
"939",1917,"Dave Davenport","SLB",27,17,17,47,39,2,NA,280.2,0.279,273,137,96,5,105,100,2.99,1.8,1003016,4,15
"940",1918,"Dave Davenport","SLB",28,10,11,31,22,1,NA,180,0.292,182,84,65,0,69,60,2.83,1.8,1003016,5,15
"941",1982,"Dave Dravecky","SDP",26,5,3,31,10,2,NA,105,0.24,86,37,30,8,33,59,3.55,0.9,1003486,1,15
"942",1983,"Dave Dravecky","SDP",27,14,10,28,28,0,NA,183.2,0.264,181,78,73,18,44,74,3.99,1.6,1003486,2,15
"943",1984,"Dave Dravecky","SDP",28,9,8,50,14,8,NA,156.2,0.229,125,53,51,12,51,71,3.91,0.6,1003486,3,15
"944",1985,"Dave Dravecky","SDP",29,13,11,34,31,0,NA,214.2,0.262,200,79,70,18,57,105,3.61,2.8,1003486,4,15
"945",1986,"Dave Dravecky","SDP",30,9,11,26,26,0,NA,161.1,0.255,149,68,55,17,54,87,4.09,1.4,1003486,5,15
"946",1884,"Dave Foutz","STL",27,15,6,25,25,0,NA,206.2,0.247,167,100,50,7,36,95,3.31,1.8,1004266,1,15
"947",1885,"Dave Foutz","STL",28,33,14,47,46,0,NA,407.2,0.255,351,200,119,8,92,147,3.09,4,1004266,2,15
"948",1886,"Dave Foutz","STL",29,41,16,59,57,1,NA,504,0.266,418,216,118,5,144,283,2.96,7.7,1004266,3,15
"949",1887,"Dave Foutz","STL",30,25,12,40,38,0,NA,339.1,0.296,369,244,146,7,90,94,3.79,4.6,1004266,4,15
"950",1888,"Dave Foutz","BRO",31,12,7,23,19,0,NA,176,0.253,146,85,49,3,35,73,2.65,2,1004266,5,15
"951",1974,"Dave Freisleben","SDP",22,9,14,33,31,0,NA,211.2,0.27,194,100,86,13,112,130,3.83,1.6,1004333,1,15
"952",1975,"Dave Freisleben","SDP",23,5,14,36,27,0,NA,181,0.301,206,102,86,11,82,77,4,0.8,1004333,2,15
"953",1976,"Dave Freisleben","SDP",24,10,13,34,24,1,NA,172,0.267,163,73,67,10,66,81,3.68,1.2,1004333,3,15
"954",1977,"Dave Freisleben","SDP",25,7,9,33,23,0,NA,138.2,0.269,140,86,71,21,71,72,5.25,-0.7,1004333,4,15
"955",1978,"Dave Freisleben","- - -",26,1,7,24,14,0,NA,71,0.34,93,59,53,7,46,35,4.91,-0.3,1004333,5,15
"956",1972,"Dave Goltz","MIN",23,3,3,15,11,1,NA,91,0.234,75,30,27,5,26,38,3.14,1.2,1004818,1,15
"957",1973,"Dave Goltz","MIN",24,6,4,32,10,1,NA,106.1,0.346,138,68,62,11,32,65,3.65,1.4,1004818,2,15
"958",1974,"Dave Goltz","MIN",25,10,10,28,24,1,NA,174.1,0.301,192,81,63,14,45,89,3.5,2.2,1004818,3,15
"959",1975,"Dave Goltz","MIN",26,14,14,32,32,0,NA,243,0.274,235,112,99,18,72,128,3.46,4,1004818,4,15
"960",1976,"Dave Goltz","MIN",27,14,14,36,35,0,NA,249.1,0.277,239,113,93,14,91,133,3.45,3.3,1004818,5,15
"961",1977,"Dave Goltz","MIN",28,20,11,39,39,0,NA,303,0.274,284,129,113,23,91,186,3.42,6,1004818,6,55
"962",1978,"Dave Goltz","MIN",29,15,10,29,29,0,NA,220.1,0.275,209,72,61,12,67,116,3.17,4.4,1004818,7,55
"963",1979,"Dave Goltz","MIN",30,14,13,36,35,0,NA,250.2,0.311,282,124,116,22,69,132,3.66,4.6,1004818,8,55
"964",1980,"Dave Goltz","LAD",31,7,11,35,27,1,NA,171.1,0.322,198,91,82,12,59,91,3.63,2,1004818,9,55
"965",1981,"Dave Goltz","LAD",32,2,7,26,8,1,NA,77,0.326,83,35,35,4,25,48,3,1,1004818,10,55
"966",1977,"Dave Rozema","DET",20,15,7,28,28,0,NA,218.1,0.269,222,87,75,25,34,92,3.95,3.2,1011273,1,15
"967",1978,"Dave Rozema","DET",21,9,12,28,28,0,NA,209.1,0.257,205,83,73,17,41,57,3.71,3.1,1011273,2,15
"968",1979,"Dave Rozema","DET",22,4,4,16,16,0,NA,97.1,0.259,101,52,38,12,30,33,4.77,0.8,1011273,3,15
"969",1980,"Dave Rozema","DET",23,6,9,42,13,4,NA,144.2,0.279,152,69,64,11,49,49,4.18,1.2,1011273,4,15
"970",1981,"Dave Rozema","DET",24,5,5,28,9,3,NA,104,0.261,99,42,42,12,25,46,4.02,1.1,1011273,5,15
"971",1979,"Dave Stieb","TOR",21,8,8,18,18,0,NA,129.1,0.286,139,70,62,11,48,52,4.24,1.6,1012532,1,15
"972",1980,"Dave Stieb","TOR",22,12,15,34,32,0,NA,242.2,0.277,232,108,100,12,83,108,3.61,4.3,1012532,2,15
"973",1981,"Dave Stieb","TOR",23,11,10,25,25,0,NA,183.2,0.239,148,70,65,10,61,89,3.51,2.9,1012532,3,15
"974",1982,"Dave Stieb","TOR",24,17,14,38,38,0,NA,288.1,0.26,271,116,104,27,75,141,3.79,4.8,1012532,4,15
"975",1983,"Dave Stieb","TOR",25,17,12,36,36,0,NA,278,0.245,223,105,94,21,93,187,3.55,5.1,1012532,5,15
"976",1984,"Dave Stieb","TOR",26,16,8,35,35,0,NA,267,0.255,215,87,84,19,88,198,3.32,5.6,1012532,6,55
"977",1985,"Dave Stieb","TOR",27,14,13,36,36,0,NA,265,0.232,206,89,73,22,96,167,3.69,4.5,1012532,7,55
"978",1986,"Dave Stieb","TOR",28,7,12,37,34,1,NA,205,0.318,239,128,108,29,87,127,4.86,0.8,1012532,8,55
"979",1987,"Dave Stieb","TOR",29,13,9,33,31,0,NA,185,0.262,164,92,84,16,87,115,4.28,2.5,1012532,9,55
"980",1988,"Dave Stieb","TOR",30,16,8,32,31,0,NA,207.1,0.241,157,76,70,15,79,147,3.62,3.1,1012532,10,55
"981",1899,"Deacon Phillippe","LOU",27,21,17,42,38,1,NA,321,0.277,331,178,113,10,64,68,3.51,3.9,1010287,1,15
"982",1900,"Deacon Phillippe","PIT",28,20,13,38,33,0,NA,279,0.273,274,127,88,7,42,75,3.07,4.2,1010287,2,15
"983",1901,"Deacon Phillippe","PIT",29,22,12,37,32,2,NA,296,0.267,274,115,73,7,38,103,2.92,3.8,1010287,3,15
"984",1902,"Deacon Phillippe","PIT",30,20,9,31,30,0,NA,272,0.29,265,90,62,1,26,122,2.1,5.3,1010287,4,15
"985",1903,"Deacon Phillippe","PIT",31,25,9,36,33,2,NA,289.1,0.277,269,115,78,4,29,123,2.38,5.8,1010287,5,15
"986",1962,"Dennis Bennett","PHI",22,9,9,31,24,3,NA,174.2,0.263,144,78,74,17,68,149,3.45,2.8,1000838,1,15
"987",1963,"Dennis Bennett","PHI",23,9,5,23,16,1,NA,119.1,0.252,102,44,35,12,33,82,3.34,1.1,1000838,2,15
"988",1964,"Dennis Bennett","PHI",24,12,14,41,32,1,NA,208,0.297,222,92,85,23,58,125,3.75,1.3,1000838,3,15
"989",1965,"Dennis Bennett","BOS",25,5,7,34,18,0,NA,141.2,0.297,152,76,69,15,53,85,3.94,1.5,1000838,4,15
"990",1966,"Dennis Bennett","BOS",26,3,3,16,13,0,NA,75,0.28,75,30,27,9,23,47,3.82,0.9,1000838,5,15
"991",1975,"Dennis Eckersley","CLE",20,13,7,34,24,2,NA,186.2,0.248,147,61,54,16,90,152,3.63,2.8,1003660,1,15
"992",1976,"Dennis Eckersley","CLE",21,13,12,36,30,1,NA,199.1,0.27,155,82,76,13,78,200,2.72,4.6,1003660,2,15
"993",1977,"Dennis Eckersley","CLE",22,14,13,33,33,0,NA,247.1,0.253,214,100,97,31,54,191,3.56,4.6,1003660,3,15
"994",1978,"Dennis Eckersley","BOS",23,20,8,35,35,0,NA,268.1,0.268,258,99,90,30,71,162,3.7,3.9,1003660,4,15
"995",1979,"Dennis Eckersley","BOS",24,17,10,33,33,0,NA,246.2,0.265,234,89,82,29,59,150,3.83,4.4,1003660,5,15
"996",1980,"Dennis Eckersley","BOS",25,12,14,30,30,0,NA,197.2,0.26,188,101,94,25,44,121,3.87,2.9,1003660,6,55
"997",1981,"Dennis Eckersley","BOS",26,9,8,23,23,0,NA,154,0.289,160,82,73,9,35,79,3.07,3.2,1003660,7,55
"998",1982,"Dennis Eckersley","BOS",27,13,13,33,33,0,NA,224.1,0.272,228,101,93,31,43,127,3.98,3.1,1003660,8,55
"999",1983,"Dennis Eckersley","BOS",28,9,13,28,28,0,NA,176.1,0.307,223,119,110,27,39,77,4.64,0.8,1003660,9,55
"1000",1984,"Dennis Eckersley","- - -",29,14,12,33,33,0,NA,225,0.272,223,97,90,21,49,114,3.69,3.2,1003660,10,55
"1001",1962,"Denny Lemaster","MIL",23,3,4,17,12,0,NA,86.2,0.267,75,36,29,11,32,69,3.89,0.8,1007512,1,15
"1002",1963,"Denny Lemaster","MIL",24,11,14,46,31,1,NA,237,0.253,199,87,80,30,85,190,3.61,1.4,1007512,2,15
"1003",1964,"Denny Lemaster","MIL",25,17,11,39,35,1,NA,221,0.288,216,112,102,27,75,185,3.59,1.9,1007512,3,15
"1004",1965,"Denny Lemaster","MIL",26,7,13,32,23,0,NA,146.1,0.29,140,75,72,12,58,111,3.32,1.8,1007512,4,15
"1005",1966,"Denny Lemaster","ATL",27,11,8,27,27,0,NA,171,0.288,170,78,71,25,41,139,3.57,2,1007512,5,15
"1006",2009,"Derek Holland","TEX",22,8,13,33,21,0,1,138.1,0.314,160,98,94,26,47,107,5.1,0.6,4141,1,15
"1007",2010,"Derek Holland","TEX",23,3,4,14,10,0,0,57.1,0.297,55,30,26,6,24,54,4.02,0.8,4141,2,15
"1008",2011,"Derek Holland","TEX",24,16,5,32,32,0,0,198,0.305,201,97,87,22,67,162,3.94,3.1,4141,3,15
"1009",2012,"Derek Holland","TEX",25,12,7,29,27,0,0,175.1,0.261,162,100,91,32,52,145,4.75,1.5,4141,4,15
"1010",2013,"Derek Holland","TEX",26,10,9,33,33,0,0,213,0.307,210,90,81,20,64,189,3.44,4.5,4141,5,15
"1011",1966,"Dick Bosman","WAS",22,2,6,13,7,0,NA,39,0.378,60,36,33,4,12,20,3.78,0.3,1001215,1,15
"1012",1967,"Dick Bosman","WAS",23,3,1,7,7,0,NA,51.1,0.219,38,12,10,3,10,25,2.91,0.9,1001215,2,15
"1013",1968,"Dick Bosman","WAS",24,2,9,46,10,1,NA,139,0.277,139,63,57,9,35,63,3.16,0.9,1001215,3,15
"1014",1969,"Dick Bosman","WAS",25,14,5,31,26,1,NA,193,0.237,156,59,47,11,39,99,2.86,4.2,1001215,4,15
"1015",1970,"Dick Bosman","WAS",26,16,12,36,34,0,NA,230.2,0.269,212,81,77,16,71,134,3.33,4.1,1001215,5,15
"1016",1971,"Dick Bosman","WAS",27,12,16,35,35,0,NA,236.2,0.279,245,110,98,29,71,113,4.05,1,1001215,6,55
"1017",1972,"Dick Bosman","TEX",28,8,10,29,29,0,NA,173.1,0.303,183,87,70,11,48,105,2.95,2.6,1001215,7,55
"1018",1973,"Dick Bosman","- - -",29,3,13,29,24,0,NA,137.1,0.301,172,98,86,25,46,55,5.29,-0.6,1001215,8,55
"1019",1974,"Dick Bosman","CLE",30,7,5,25,18,0,NA,127.1,0.263,126,69,58,13,29,56,3.73,1.3,1001215,9,55
"1020",1975,"Dick Bosman","- - -",31,11,6,28,24,0,NA,151.1,0.25,145,67,61,15,32,53,3.93,1.6,1001215,10,55
"1021",1969,"Dick Drago","KCR",24,11,13,41,26,1,NA,200.2,0.261,190,95,84,19,65,108,3.66,2.5,1003475,1,15
"1022",1970,"Dick Drago","KCR",25,9,15,35,34,0,NA,240,0.282,239,110,100,20,72,127,3.65,3.8,1003475,2,15
"1023",1971,"Dick Drago","KCR",26,17,11,35,34,0,NA,241.1,0.297,251,84,80,14,46,109,2.99,4.7,1003475,3,15
"1024",1972,"Dick Drago","KCR",27,12,17,34,33,0,NA,239.1,0.274,230,88,80,22,51,135,3.18,2.9,1003475,4,15
"1025",1973,"Dick Drago","KCR",28,12,14,37,33,0,NA,212.2,0.319,252,116,100,16,76,98,3.79,2.8,1003475,5,15
"1026",1871,"Dick McBride","PHN",NA,18,5,25,25,0,NA,222,0.316,285,223,113,3,40,15,4.16,2.7,1008341,1,15
"1027",1872,"Dick McBride","PHN",NA,30,14,47,47,0,NA,419,0.31,513,349,140,3,26,44,3.58,5,1008341,2,15
"1028",1873,"Dick McBride","PHN",NA,24,19,46,46,0,NA,382.2,0.299,453,325,141,3,47,25,3.27,4.7,1008341,3,15
"1029",1874,"Dick McBride","PHN",NA,33,22,55,55,0,NA,487,0.272,514,344,138,5,29,10,3.08,6,1008341,4,15
"1030",1875,"Dick McBride","PHN",NA,44,14,60,60,0,NA,538,0.284,602,297,118,4,25,10,2.57,6.6,1008341,5,15
"1031",1973,"Dick Ruthven","PHI",22,6,9,25,23,1,NA,128.1,0.301,125,69,60,10,75,98,3.87,1.4,1011330,1,15
"1032",1974,"Dick Ruthven","PHI",23,9,13,35,35,0,NA,212.2,0.268,182,106,95,11,116,153,3.49,3.1,1011330,2,15
"1033",1975,"Dick Ruthven","PHI",24,2,2,11,7,0,NA,40.2,0.278,37,22,19,2,22,26,3.64,0.4,1011330,3,15
"1034",1976,"Dick Ruthven","ATL",25,14,17,36,36,0,NA,240.1,0.306,255,112,112,14,90,142,3.43,3.9,1011330,4,15
"1035",1977,"Dick Ruthven","ATL",26,7,13,25,23,0,NA,151,0.285,158,86,71,14,62,84,4.08,2.1,1011330,5,15
"1036",1978,"Dick Ruthven","- - -",27,15,11,33,33,0,NA,231.2,0.261,214,95,87,21,56,120,3.47,3.4,1011330,6,55
"1037",1979,"Dick Ruthven","PHI",28,7,5,20,20,0,NA,122.1,0.27,121,59,58,10,37,58,3.8,1.6,1011330,7,55
"1038",1980,"Dick Ruthven","PHI",29,17,10,33,33,0,NA,223.1,0.301,241,99,88,9,74,86,3.54,3.2,1011330,8,55
"1039",1981,"Dick Ruthven","PHI",30,12,7,23,22,0,NA,146.2,0.303,162,94,84,10,54,80,3.56,1.6,1011330,9,55
"1040",1982,"Dick Ruthven","PHI",31,11,11,33,31,0,NA,204.1,0.263,189,99,86,18,59,115,3.69,2.2,1011330,10,55
"1041",1962,"Diego Segui","KCA",24,8,5,37,13,6,NA,116.2,0.213,89,53,50,16,46,71,4.39,1,1011725,1,15
"1042",1963,"Diego Segui","KCA",25,9,6,38,23,0,NA,167,0.294,173,84,70,17,73,116,3.76,2,1011725,2,15
"1043",1964,"Diego Segui","KCA",26,8,17,40,35,0,NA,217,0.283,219,118,110,30,94,155,4.29,1.7,1011725,3,15
"1044",1965,"Diego Segui","KCA",27,5,15,40,25,0,NA,163,0.292,166,102,84,18,67,119,3.76,1.6,1011725,4,15
"1045",1966,"Diego Segui","WAS",28,3,7,21,13,0,NA,72,0.327,82,42,40,8,24,54,3.5,0.8,1011725,5,15
"1046",1939,"Dizzy Trout","DET",24,9,10,33,22,2,NA,162,0.291,168,82,65,5,74,72,3.93,3.1,1013196,1,15
"1047",1940,"Dizzy Trout","DET",25,3,7,33,10,2,NA,100.2,0.352,125,60,50,4,54,64,3.78,1.7,1013196,2,15
"1048",1941,"Dizzy Trout","DET",26,9,9,37,18,2,NA,151.2,0.28,144,76,63,7,84,88,3.8,2.4,1013196,3,15
"1049",1942,"Dizzy Trout","DET",27,12,18,35,29,0,NA,223,0.26,214,98,85,15,89,91,3.73,2.6,1013196,4,15
"1050",1943,"Dizzy Trout","DET",28,20,12,44,30,6,NA,246.2,0.247,204,83,68,6,101,111,3.05,4.1,1013196,5,15
"1051",1944,"Dizzy Trout","DET",29,27,14,49,40,0,NA,352.1,0.258,314,104,83,9,83,144,2.79,7.4,1013196,6,55
"1052",1945,"Dizzy Trout","DET",30,18,15,41,31,2,NA,246.1,0.285,252,108,86,8,79,97,3.14,4.1,1013196,7,55
"1053",1946,"Dizzy Trout","DET",31,17,13,38,32,3,NA,276.1,0.265,244,85,72,11,97,151,2.89,5.3,1013196,8,55
"1054",1947,"Dizzy Trout","DET",32,10,11,32,26,2,NA,186.1,0.278,186,85,72,6,65,74,3.22,3.6,1013196,9,55
"1055",1948,"Dizzy Trout","DET",33,10,14,32,23,2,NA,183.2,0.296,193,87,70,6,73,91,3.32,4,1013196,10,55
"1056",1908,"Doc Crandall","NYG",20,12,12,32,24,0,NA,214.2,0.27,198,83,70,3,59,77,2.39,2.1,1002730,1,15
"1057",1909,"Doc Crandall","NYG",21,6,4,30,7,6,NA,122,0.279,117,58,39,5,33,55,2.66,0.7,1002730,2,15
"1058",1910,"Doc Crandall","NYG",22,17,4,42,18,5,NA,207.2,0.264,194,86,59,10,43,73,2.87,1.8,1002730,3,15
"1059",1911,"Doc Crandall","NYG",23,15,5,41,15,5,NA,198.2,0.288,199,82,58,10,51,94,3.25,1.8,1002730,4,15
"1060",1912,"Doc Crandall","NYG",24,13,7,37,10,2,NA,162,0.305,181,85,65,7,35,60,3.32,1.3,1002730,5,15
"1061",1900,"Doc Newton","CIN",22,9,15,35,27,0,NA,234.2,0.304,255,146,108,4,100,88,3.58,2.3,1009550,1,15
"1062",1901,"Doc Newton","- - -",23,10,18,33,30,0,NA,273.1,0.307,300,159,110,7,89,110,3.43,1.9,1009550,2,15
"1063",1902,"Doc Newton","BRO",24,15,14,31,28,2,NA,264.1,0.244,208,95,71,2,87,107,2.94,2.3,1009550,3,15
"1064",1905,"Doc Newton","NYH",27,2,2,11,7,0,NA,59.2,0.281,61,23,14,1,24,15,3.44,0.2,1009550,4,15
"1065",1906,"Doc Newton","NYH",28,7,5,21,15,0,NA,125,0.277,118,53,44,3,33,52,2.64,1.3,1009550,5,15
"1066",1901,"Doc White","PHI",22,14,13,31,27,0,NA,236.2,0.309,241,122,84,2,56,132,2.63,3.5,1013864,1,15
"1067",1902,"Doc White","PHI",23,16,20,36,35,1,NA,306,0.288,277,126,86,3,72,185,2.29,4.7,1013864,2,15
"1068",1903,"Doc White","CHW",24,17,16,37,36,0,NA,300,0.258,258,119,71,4,69,114,2.86,2,1013864,3,15
"1069",1904,"Doc White","CHW",25,16,12,30,30,0,NA,228,0.27,201,82,45,6,68,115,2.65,0.8,1013864,4,15
"1070",1905,"Doc White","CHW",26,17,13,36,33,0,NA,260.1,0.248,204,67,51,2,58,120,2.37,2.8,1013864,5,15
"1071",1906,"Doc White","CHW",27,18,6,28,24,0,NA,219.1,0.232,160,47,37,2,38,95,2.14,2.8,1013864,6,55
"1072",1907,"Doc White","CHW",28,27,13,46,35,1,NA,291,0.282,270,93,73,3,38,141,1.73,4.5,1013864,7,55
"1073",1908,"Doc White","CHW",29,18,13,41,37,0,NA,296,0.271,267,95,84,3,69,126,2.08,2.5,1013864,8,55
"1074",1909,"Doc White","CHW",30,11,9,24,21,0,NA,177.2,0.259,149,52,34,1,31,77,1.94,2.2,1013864,9,55
"1075",1910,"Doc White","CHW",31,15,13,33,29,1,NA,236.2,0.281,219,84,70,2,50,111,2.13,3,1013864,10,55
"1076",1968,"Dock Ellis","PIT",23,6,5,26,10,0,NA,104,0.236,82,35,29,4,38,52,3.01,0.7,1003747,1,15
"1077",1969,"Dock Ellis","PIT",24,11,17,35,33,0,NA,218.2,0.295,206,101,87,14,76,173,2.86,4.2,1003747,2,15
"1078",1970,"Dock Ellis","PIT",25,13,10,30,30,0,NA,201.2,0.294,194,81,72,9,87,128,3.39,3.4,1003747,3,15
"1079",1971,"Dock Ellis","PIT",26,19,9,31,31,0,NA,226.2,0.264,207,93,77,15,63,137,2.96,3.7,1003747,4,15
"1080",1972,"Dock Ellis","PIT",27,15,7,25,25,0,NA,163.1,0.286,156,60,49,6,33,96,2.36,3.9,1003747,5,15
"1081",1973,"Dock Ellis","PIT",28,12,14,28,28,0,NA,192,0.276,176,86,65,7,55,122,2.72,4.4,1003747,6,55
"1082",1974,"Dock Ellis","PIT",29,12,9,26,26,0,NA,176.2,0.259,163,71,62,13,41,91,3.32,2.8,1003747,7,55
