Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2018,Logan Darnell,WSN,LEVEL,29,112.2,6.550276489,1.917154094,3.41666667,1.118339888,0.17190776,0.05031447,0.12159329,0.27272727,1.30472987,0.30704225,0.74188563,3.914189609,4.181658282,-0.267468673,3.769788487,11261
2013,Zach Neal,OAK,LEVEL,24,165.2,5.215281023,1.955730383,2.66666667,0.977865192,0.13793103,0.05172414,0.08620689,0.26299694,1.255530617,0.28518519,0.63029661,4.346067519,4.07044238,0.275625139,4.020239879,11294
2013,Pat Dean,MIN,LEVEL,24,125,4.392,1.224,3.58823529,0.864,0.11275416,0.03142329,0.08133087,0.28927203,1.344,0.30957684,0.63968668,4.68,4.052749899,0.627250101,4.117610125,11350
2014,Pat Dean,MIN,LEVEL,25,144,5.1875,1.9375,2.67741935,1.25,0.12828439,0.04791345,0.08037094,0.31578947,1.548611111,0.34059406,0.68965517,4.8125,4.820007621,-0.007507621,4.4469089,11350
2012,Brandon Cumpton,PIT,LEVEL,23,152.1,5.199136357,2.717730369,1.91304348,0.531729855,0.13707165,0.07165109,0.06542056,0.25645439,1.280090391,0.2892562,0.69908815,3.840271173,4.015446246,-0.175175073,4.11686122,11366
2015,Alex Wimmers,MIN,LEVEL,26,115.1,7.803490749,3.355501022,2.3255814,0.546244352,0.20449898,0.08793456,0.11656442,0.26292135,1.387287244,0.32544379,0.68121693,4.526024635,3.503022567,1.023002068,3.578923162,11394
2014,A.J. Schugel,ARI,LEVEL,25,147.2,7.130909051,3.047397031,2.34,0.182843822,0.1908646,0.08156607,0.10929853,0.25493716,1.300222733,0.3180778,0.7120743,3.474032615,3.004006201,0.470026413,3.684845752,11432
2012,A.J. Schugel,LAA,LEVEL,23,140.1,6.990515788,3.52732448,1.98181818,0.577198551,0.18956522,0.09565217,0.09391305,0.22762646,1.225656183,0.27272727,0.7496977,2.885992756,3.864424519,-0.978431762,4.364289798,11432
2013,Jesse Biddle,PHI,LEVEL,21,138.1,10.01930179,5.334952902,1.87804878,0.650604012,0.26235094,0.13969336,0.12265758,0.20717131,1.344581626,0.27810651,0.74285714,3.643382469,3.881377776,-0.237995307,3.911609449,11437
2013,Zach Lee,LAD,LEVEL,21,142.2,8.263998952,2.207938651,3.74285714,0.820091499,0.22469983,0.06003431,0.16466552,0.24264706,1.170557952,0.2975,0.7460733,3.217282035,3.080853931,0.136428104,2.771080383,11468
2012,Dallas Beeler,CHC,LEVEL,23,136,4.632352941,3.176470588,1.45833333,0.727941176,0.11608624,0.07960199,0.03648425,0.30127042,1.573529412,0.32978723,0.71076012,4.235294118,4.313167721,-0.077873603,4.054911677,11471
2014,Joely Rodriguez,PIT,LEVEL,22,134,4.902985075,2.888059701,1.69767442,0.671641791,0.1271777,0.07491289,0.05226481,0.28490566,1.447761194,0.31543624,0.63535912,4.835820896,4.220401485,0.615419411,4.179541238,11487
2014,Jeff Ferrell,DET,LEVEL,23,138,6,2.47826087,2.42105263,1.108695652,0.1503268,0.0620915,0.0882353,0.30526316,1.536231884,0.34056399,0.68158169,5.543478261,4.535889263,1.007588997,4.263860958,11506
2014,Jose Urena,MIA,LEVEL,22,162,6.722222222,1.611111111,4.17241379,0.777777778,0.18558282,0.04447853,0.14110429,0.24959742,1.135802469,0.29012346,0.72716346,3.333333333,3.390553727,-0.057220394,3.195124377,11589
2014,Williams Perez,ATL,LEVEL,23,133,6.360902256,2.639097744,2.41025641,0.270676692,0.16936937,0.07027027,0.0990991,0.23564356,1.187969925,0.28255528,0.73439412,2.909774436,3.292113181,-0.382338745,3.611853254,11592
2012,Deck McGuire,TOR,LEVEL,23,144,6.0625,3.875,1.56451613,1.375,0.15085537,0.09642302,0.05443235,0.28173913,1.555555556,0.30701754,0.6375502,5.875,5.256995604,0.618004396,4.685936271,11596
2013,Deck McGuire,TOR,LEVEL,24,157.1,8.180102464,3.37500731,2.42372881,0.686442165,0.21248143,0.08766716,0.12481427,0.24262295,1.315680816,0.2989011,0.623069,4.862298667,3.699750711,1.162547956,4.045792381,11596
2017,Deck McGuire,CIN,LEVEL,28,168,9.107142857,3.053571429,2.98245614,0.696428571,0.25373134,0.08507463,0.16865671,0.20525452,1.083333333,0.2629108,0.76281287,2.785714286,3.184518562,-0.398804276,3.205259859,11596
2012,Mike Kickham,SFG,LEVEL,23,150.2,8.183609809,4.480078362,1.82666667,0.477875025,0.21746032,0.11904762,0.0984127,0.21518987,1.287607707,0.27205882,0.7521645,3.046453286,3.606306389,-0.559853103,3.734266128,11618
2013,Toru Murata,CLE,LEVEL,28,131,7.145038168,1.442748092,4.95238095,1.236641221,0.1884058,0.03804348,0.15036232,0.27342256,1.251908397,0.3117207,0.65395095,4.190839695,4.187345319,0.003494376,3.801194909,11652
2013,Erik Goeddel,NYM,LEVEL,24,134,8.395522388,3.895522388,2.15517241,0.940298507,0.21367521,0.0991453,0.11452991,0.25961538,1.440298507,0.3175853,0.70953437,4.365671642,4.272511093,0.093160549,4.095761077,11712
2014,Kyle Ryan,DET,LEVEL,22,126.2,5.542090687,2.27367823,2.4375,1.065786671,0.14689266,0.06026365,0.08662901,0.2811245,1.357891165,0.30864198,0.69736842,4.547356461,4.444200662,0.103155799,3.865304939,11753
2014,Justin Nicolino,MIA,LEVEL,22,170.1,4.279852007,1.056753582,4.05,0.528376791,0.1180758,0.02915452,0.08892128,0.24508321,1.068495288,0.26666667,0.68786127,2.853234671,3.439296712,-0.586062041,3.817686779,11754
2016,Myles Jaye,DET,LEVEL,24,122.2,7.630414059,2.127711613,3.5862069,0.807063025,0.2,0.05576923,0.14423077,0.2602459,1.271735677,0.31099196,0.68941504,4.035315127,3.610876676,0.424438451,3.338924401,11769
2014,Myles Jaye,CHW,LEVEL,22,132,4.977272727,3.613636364,1.37735849,0.681818182,0.12521441,0.09090909,0.03430532,0.28023033,1.507575758,0.31050228,0.62371134,5.318181818,4.474728811,0.843453007,4.601543027,11769
2015,Myles Jaye,CHW,LEVEL,23,147.2,6.338585824,2.864553209,2.21276596,0.487583525,0.16965742,0.0766721,0.09298532,0.24150268,1.232502799,0.28411633,0.70303712,3.291188793,3.696375642,-0.405186849,3.779278941,11769
2012,Taijuan Walker,SEA,LEVEL,19,126.2,8.384188475,3.552622235,2.36,0.852629336,0.21454545,0.09090909,0.12363636,0.25409836,1.373680598,0.31284916,0.6855792,4.68946135,3.980889978,0.708571372,3.780999588,11836
2013,Jason Adam,KCR,LEVEL,21,144,7.875,3.375,2.33333333,0.75,0.1978022,0.08477237,0.11302983,0.2693662,1.4375,0.32790698,0.6042885,5.1875,3.827193292,1.360306708,4.163405357,11861
2018,Enderson Franco,ATL,LEVEL,25,127.2,9.164466947,2.960827783,3.0952381,0.986942594,0.23722628,0.07664234,0.16058394,0.250501,1.308090581,0.31267606,0.70595855,3.947770377,3.905508341,0.042262036,3.898965107,11896
2015,Taylor Cole,TOR,LEVEL,25,164,7.024390244,3.018292683,2.32727273,0.987804878,0.18550725,0.07971014,0.10579711,0.27707006,1.396341463,0.32365145,0.74003795,4.06097561,4.268730116,-0.207754506,3.591860071,11964
2013,Scott Snodgress,CHW,LEVEL,23,143.2,5.638037671,3.696046917,1.52542373,0.563803767,0.14446228,0.09470305,0.04975923,0.26071429,1.426910768,0.29718004,0.60590631,4.698364725,3.789658116,0.90870661,4.090238483,12020
2014,Scott Snodgress,CHW,LEVEL,24,122.2,5.79617991,3.81520703,1.51923077,0.660324294,0.14962121,0.09848485,0.05113636,0.25373134,1.394017953,0.28871391,0.71342201,3.888576396,4.295542664,-0.406966269,4.347171706,12020
2013,Kyle Hendricks,CHC,LEVEL,23,126.1,7.195269634,1.852247629,3.88461538,0.21372088,0.1988189,0.0511811,0.1476378,0.22431866,1.052773225,0.27882038,0.77727952,1.852247629,2.358538863,-0.506291234,2.874385072,12049
2016,Jason Garcia,BAL,LEVEL,23,123.2,5.167101983,3.929908551,1.31481481,0.363880421,0.13027523,0.09908257,0.03119266,0.28423237,1.544470233,0.32512315,0.65803109,4.730445478,4.263817909,0.466627569,4.981079086,12143
2012,Seth Maness,STL,LEVEL,23,123.2,6.040414994,0.654984758,9.22222222,0.946089096,0.16500994,0.01789264,0.1471173,0.25,1.059296338,0.27806122,0.73232323,3.274923792,3.668239176,-0.393315383,3.486795185,12235
2015,Justin Hancock,SDP,LEVEL,24,120.1,6.880905477,3.664830091,1.87755102,0.598339607,0.17557252,0.09351145,0.08206107,0.27021277,1.462607927,0.32162162,0.75971731,3.59003764,3.978152296,-0.388114656,4.137304583,12316
2013,Gus Schlosser,ATL,LEVEL,24,135.1,6.716765682,2.926115743,2.29545455,0.332513153,0.18165468,0.07913669,0.10251799,0.23274162,1.197047349,0.28179551,0.78125,2.394094698,2.986521845,-0.592427147,3.21785223,12321
2013,Nick Tropeano,HOU,LEVEL,22,133.2,8.753094891,2.625928467,3.33333333,1.009972487,0.23131673,0.06939502,0.16192171,0.26923077,1.339148706,0.33333333,0.72670807,4.107221449,3.512717897,0.594503552,3.33563683,12385
2008,Adam Ottavino,STL,LEVEL,22,115.1,7.491351119,4.05781519,1.84615385,1.24855852,0.18113208,0.09811321,0.08301887,0.28418803,1.604050876,0.32865169,0.69524913,5.228338802,5.082140244,0.146198558,4.783257831,1247
2014,Drew Rucinski,LAA,LEVEL,25,148.2,8.475316895,2.482057091,3.41463415,0.423765845,0.2295082,0.06721311,0.16229509,0.25222025,1.230938882,0.32451923,0.71428571,3.147974847,2.797160902,0.350813945,3.083760706,12499
2014,Drew Gagnon,MIL,LEVEL,24,154.2,6.866364182,3.607750672,1.90322581,1.047411485,0.1812596,0.0952381,0.0860215,0.23316062,1.27370409,0.26410835,0.71507151,3.956887833,4.570467664,-0.613579831,4.227464193,12545
2013,Blake Treinen,WSN,LEVEL,25,118.2,6.522453599,2.502801962,2.60606061,0.682582353,0.16996047,0.06521739,0.10474308,0.26652452,1.331456936,0.31016043,0.72289157,3.640439218,3.796658686,-0.156219469,3.673000639,12572
2013,Mike Wright,BAL,LEVEL,23,143.2,8.519701369,2.443149657,3.48717949,0.563803767,0.2176,0.0624,0.1552,0.26388889,1.329463204,0.33178654,0.72186837,3.257532876,3.269065576,-0.0115327,3.623836534,12586
2013,Nate Karns,WSN,LEVEL,25,132.2,10.51504837,3.256273043,3.22916667,0.949746304,0.28028933,0.08679928,0.19349005,0.2188755,1.183414046,0.2887538,0.76177285,3.256273043,3.603643655,-0.347370612,3.214102074,12638
2014,Jerad Eickhoff,TEX,LEVEL,23,154.1,8.397426749,3.032404104,2.76923077,0.99136288,0.22641509,0.08176101,0.14465408,0.22357019,1.172788767,0.26923077,0.68209501,4.082082448,3.832774671,0.249307776,3.653465205,12664
