Season,Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
2017,Lukas Young,BOS,LEVEL,20,0,0,5.225823493,5,0,0,0,1,0,,10.1,44,13,7,6,2,1,0,2,1,0,9,sa3004595
2018,Lukas Young,BOS,LEVEL,21,1,4,6.12,32,0,0,0,7,2,,50,229,55,40,34,6,22,0,4,7,1,48,sa3004595
2019,Lukas Young,ATL,LEVEL,22,0,0,0,11,0,0,0,5,1,,14,58,8,2,0,0,6,0,3,1,0,13,sa3004595
2018,Jared Finkel,MIN,LEVEL,22,5,3,3.392668463,33,0,0,0,3,4,,63.2,276,65,32,24,3,22,0,7,10,1,43,sa3004596
2018,Joe Cavallaro,NYM,LEVEL,22,8,2,2.094828551,13,12,0,0,0,0,,77.1,307,54,24,18,5,26,0,4,2,0,83,sa3004599
2019,Kory Behenna,DET,LEVEL,22,0,0,2.454546519,7,0,0,0,0,0,,7.1,32,4,4,2,0,6,0,0,0,0,7,sa3004600
2018,David Smith,WSN,LEVEL,23,0,0,17.35713103,3,0,0,0,0,0,,4.2,28,11,9,9,2,1,0,2,0,0,6,sa3004601
2018,Alex FaGalde,STL,LEVEL,24,6,3,1.629311095,13,12,0,0,0,0,,77.1,302,56,17,14,6,17,0,3,1,0,77,sa3004602
2018,Joey Marciano,SFG,LEVEL,23,4,3,2.576764628,15,14,0,0,0,0,,80.1,331,74,30,23,3,22,1,1,7,0,71,sa3004637
2018,Cannon Chadwick,NYM,LEVEL,23,0,0,12.6,4,0,0,0,0,0,,5,30,7,7,7,1,6,0,2,0,0,7,sa3004640
2018,Moises Ceja,COL,LEVEL,22,2,2,4.049994882,17,0,0,0,0,1,,26.2,113,31,15,12,1,7,1,1,5,0,26,sa3004641
2018,Hans Crouse,TEX,LEVEL,19,0,2,2.699994541,5,5,0,0,0,0,,16.2,76,18,9,5,1,8,0,1,1,0,15,sa3004642
2019,Hans Crouse,TEX,LEVEL,20,6,1,4.414446876,19,19,0,0,0,0,,87.2,367,86,49,43,12,19,0,8,8,0,76,sa3004642
2018,Rickey Ramirez,MIN,LEVEL,21,0,3,5.754107896,14,0,0,0,2,3,,20.1,89,23,13,13,1,9,0,1,2,0,18,sa3004644
2019,Rickey Ramirez,MIN,LEVEL,22,1,1,2.30488089,16,0,0,0,5,0,,27.1,116,22,8,7,1,11,0,2,2,0,28,sa3004644
2019,Juan Pablo Lopez,HOU,LEVEL,20,1,0,2.25,1,0,0,0,0,0,,4,17,3,1,1,0,2,0,0,1,0,3,sa3004647
2019,Seth Corry,SFG,LEVEL,20,9,3,1.760864783,27,26,0,0,0,0,,122.2,508,73,35,24,4,58,0,14,13,1,172,sa3004648
2019,Yoendrys Gomez,NYY,LEVEL,19,0,3,6.074992324,6,6,0,0,0,0,,26.2,119,28,19,18,2,9,0,6,1,1,25,sa3004650
2019,Sandel De La Cruz,DET,LEVEL,22,4,4,3.857141176,34,5,0,0,1,1,,81.2,370,75,42,35,6,41,1,7,14,1,102,sa3004652
2019,Petru Balan,MIN,LEVEL,23,0,0,0,1,0,0,0,0,0,,1.1,8,1,3,0,0,2,0,0,0,0,2,sa3004653
2018,Tony Dibrell,NYM,LEVEL,22,7,6,3.503816794,23,23,1,0,0,0,,131,560,112,60,51,10,54,1,9,12,1,147,sa3004657
2018,Nick Raquet,WSN,LEVEL,22,4,6,2.793101979,12,12,2,0,0,0,,67.2,282,68,29,21,1,18,0,2,0,1,56,sa3004658
2018,Janson Junk,NYY,LEVEL,22,7,5,3.76981284,17,15,1,0,0,0,,88.1,372,82,39,37,9,31,0,4,5,0,71,sa3004659
2018,Shawn Semple,NYY,LEVEL,22,2,0,1.5,2,2,0,0,0,0,,12,43,7,2,2,0,1,0,0,1,0,17,sa3004661
2019,Shawn Semple,NYY,LEVEL,23,2,0,1.714285714,5,0,0,0,3,0,,21,75,9,4,4,1,2,0,1,0,0,32,sa3004661
2018,Jackson Tetreault,WSN,LEVEL,22,3,8,4.009090909,20,20,0,0,0,0,,110,473,108,62,49,10,34,0,5,8,1,118,sa3004662
2018,Alex Eubanks,TEX,LEVEL,22,8,6,5.383928571,26,16,0,0,0,1,,112,488,126,70,67,12,30,0,6,4,1,106,sa3004663
2018,Ryan Dease,TEX,LEVEL,19,1,0,0,1,1,0,0,0,0,,5,19,5,0,0,0,0,0,0,0,0,3,sa3004664
2018,Jacob Belinda,ATL,LEVEL,23,2,1,3.483870968,19,0,0,0,1,2,,31,138,29,16,12,4,16,0,1,5,0,27,sa3004666
2019,Chad Whitmer,MIL,LEVEL,24,6,2,3.529411765,33,0,0,0,4,3,,51,214,50,25,20,2,12,1,2,2,0,48,sa3004667
2018,Justin Hoyt,LAD,LEVEL,23,1,1,5.484383663,11,0,0,0,0,1,,21.1,91,21,13,13,1,11,1,0,1,0,16,sa3004671
2018,Devin Hemmerich,LAD,LEVEL,22,5,5,2.732142857,31,0,0,0,2,2,,56,239,46,25,17,3,27,5,2,7,0,34,sa3004672
2018,Rio Gomez,BOS,LEVEL,23,0,1,3.240001236,7,0,0,0,1,0,,8.1,36,10,4,3,2,2,0,0,0,0,10,sa3004676
2019,Rio Gomez,BOS,LEVEL,24,2,0,1.094593099,14,0,0,0,5,0,,24.2,92,13,4,3,2,4,0,1,3,0,37,sa3004676
2019,Chris Hunt,STL,LEVEL,24,0,0,8.526320069,3,0,0,0,0,0,,6.1,35,9,7,6,1,2,0,4,0,0,4,sa3004678
2018,Max Engelbrekt,WSN,LEVEL,24,0,2,7.5,5,0,0,0,0,0,,6,30,9,7,5,1,3,0,0,0,0,4,sa3004679
2017,Hayden Deal,ATL,LEVEL,22,1,0,0,1,0,0,0,0,0,,4,15,1,0,0,0,1,0,0,0,0,4,sa3004680
2018,Hayden Deal,ATL,LEVEL,23,9,1,2.17372783,27,5,1,0,2,0,,78.2,319,62,23,19,3,17,1,4,13,0,82,sa3004680
2018,Aaron Fernandez,DET,LEVEL,23,0,0,18,4,0,0,0,1,0,,4,22,4,8,8,2,4,0,2,0,0,6,sa3004681
2018,Tad Ratliff,KCR,LEVEL,22,2,0,1.675863171,27,0,0,0,10,3,,48.1,195,45,12,9,2,10,1,1,2,0,53,sa3004683
2018,Ryan Peurifoy,PIT,LEVEL,23,1,0,0,2,0,0,0,0,0,,2,6,1,0,0,0,0,0,0,0,0,2,sa3004686
2018,Cody Beckman,MIL,LEVEL,23,1,4,2.842105263,25,0,0,0,1,1,,38,155,26,18,12,1,16,0,3,3,1,36,sa3004698
2018,Aaron Leasher,SDP,LEVEL,22,5,5,3.317404934,20,15,0,0,0,0,,97.2,421,97,42,36,5,41,0,3,13,0,96,sa3004701
2018,Keenan Bartlett,SFG,LEVEL,22,1,0,4.5,11,0,0,0,1,0,,16,67,16,12,8,1,5,1,0,1,0,14,sa3004703
2018,Bryce Conley,OAK,LEVEL,23,3,7,4.464565052,20,16,0,0,1,0,,84.2,359,66,44,42,8,37,0,11,11,0,98,sa3004704
2019,Bryce Conley,OAK,LEVEL,24,3,4,3.728571429,16,12,0,0,1,0,,70,298,51,31,29,7,38,0,6,4,0,69,sa3004704
2018,Greg Jacknewitz,SFG,LEVEL,23,0,0,0,1,0,0,0,0,0,,4,16,6,0,0,0,0,0,0,0,0,3,sa3004705
2018,Franklin Van Gurp,SFG,LEVEL,22,4,0,1.770490419,18,1,0,0,4,2,,40.2,163,24,9,8,1,16,3,2,6,1,48,sa3004709
2019,Franklin Van Gurp,SFG,LEVEL,23,2,0,3.767437432,16,0,0,0,4,3,,28.2,117,21,13,12,4,9,0,1,6,0,40,sa3004709
2019,Franklin Van Gurp,SDP,LEVEL,23,0,1,2.872334248,9,0,0,0,1,1,,15.2,66,16,6,5,0,5,0,2,3,0,16,sa3004709
2019,Matthew Hammonds,BAL,LEVEL,24,5,2,3.917647059,37,1,0,0,2,3,,85,363,67,39,37,10,46,0,0,10,1,82,sa3004711
2018,Tim Naughton,BAL,LEVEL,22,3,4,4.453612626,24,0,0,0,5,4,,32.1,157,36,22,16,1,22,0,0,7,0,33,sa3004713
2019,Tim Naughton,BAL,LEVEL,23,3,3,3.103448276,22,0,0,0,12,2,,29,127,24,14,10,1,11,1,4,3,1,44,sa3004713
2017,Colby Nealy,LAD,LEVEL,21,0,1,6.428571429,4,0,0,0,1,0,,7,31,8,5,5,2,2,0,0,0,0,2,sa3004714
2018,Danny Hrbek,KCR,LEVEL,23,4,2,4.5,24,0,0,0,0,3,,36,148,24,21,18,5,16,1,5,9,0,35,sa3004716
2019,Danny Hrbek,NYM,LEVEL,24,4,0,3.123969404,20,0,0,0,0,1,,40.1,174,38,14,14,4,11,0,6,4,0,50,sa3004716
2018,Austin Hamilton,LAD,LEVEL,24,2,0,3.6,10,0,0,0,0,1,,20,86,22,10,8,2,4,0,0,2,0,22,sa3004717
2017,Evy Ruibal,LAD,LEVEL,21,1,2,4.609744732,9,0,0,0,0,0,,13.2,67,13,9,7,1,12,1,1,4,0,17,sa3004732
2019,Jacob Heatherly,CIN,LEVEL,21,1,2,8.30768926,4,4,0,0,0,0,,8.2,47,12,9,8,0,6,0,1,2,0,10,sa3004736
2017,Ryan Lillie,MIA,LEVEL,21,0,0,0,1,0,0,0,0,0,,2,7,1,0,0,0,0,0,0,0,0,4,sa3004740
2018,Ryan Lillie,MIA,LEVEL,22,6,2,2.576764628,14,14,2,2,0,0,,80.1,315,68,32,23,8,10,0,5,1,0,77,sa3004740
2017,Riley Ottesen,LAD,LEVEL,22,0,2,4.295444677,5,5,0,0,0,0,,14.2,66,10,9,7,0,12,0,1,7,0,17,sa3004741
2018,Riley Ottesen,LAD,LEVEL,23,1,4,11.3855283,12,4,0,0,0,0,,27.2,146,22,35,35,0,38,0,8,11,1,25,sa3004741
2018,Tyler Jackson,SEA,LEVEL,24,1,3,6.069767442,13,6,0,0,0,0,,43,200,57,37,29,9,11,2,3,2,0,37,sa3004743
2018,Jason Bahr,SFG,LEVEL,23,6,4,2.752425757,13,13,1,0,0,0,,68.2,274,52,22,21,5,21,0,4,7,1,88,sa3004744
2018,Connor Ryan,CIN,LEVEL,23,1,0,7.269228103,8,0,0,0,1,0,,8.2,46,11,7,7,0,8,0,0,1,0,10,sa3004746
2018,Aaron Phillips,SFG,LEVEL,21,6,7,3.718020603,19,18,0,0,0,0,,101.2,428,94,51,42,13,16,0,10,11,0,120,sa3004747
2018,Joshua Payne,NYM,LEVEL,23,4,3,4.390243902,28,0,0,0,1,4,,41,176,44,25,20,4,10,2,4,6,0,43,sa3004748
2018,Clay Chandler,SEA,LEVEL,24,9,4,3.885356165,27,19,0,0,1,0,,136.2,565,124,61,59,20,33,0,3,4,0,101,sa3004749
2019,Clay Chandler,SEA,LEVEL,25,8,5,3.891891892,19,19,1,0,0,0,,111,454,111,52,48,12,18,0,4,2,0,104,sa3004749
2019,Shane Baz,TBR,LEVEL,20,3,2,2.987706226,17,17,0,0,0,0,,81.1,342,63,30,27,5,37,0,5,10,0,87,sa3004765
2018,Garrett Schilling,COL,LEVEL,22,8,5,3.866059936,26,25,0,0,0,0,,144.1,624,156,74,62,16,45,0,9,5,0,135,sa3004770
2018,John Russell,SFG,LEVEL,22,8,5,2.49456651,36,0,0,0,7,2,,61.1,237,39,22,17,6,19,2,8,9,0,72,sa3004771
2018,Nate Harris,COL,LEVEL,23,2,1,3.857142857,40,2,0,0,2,3,,70,295,76,31,30,7,7,0,4,2,3,81,sa3004772
2018,Peter Lannoo,SFG,LEVEL,23,1,2,3.374993908,9,0,0,0,0,1,,18.2,76,18,7,7,2,4,0,0,1,1,19,sa3004773
2019,Peter Lannoo,SFG,LEVEL,24,1,1,2.25,6,0,0,0,1,0,,12,51,10,4,3,1,4,0,1,0,0,17,sa3004773
2019,Jamal Wade,SEA,LEVEL,23,1,1,3.85714023,2,0,0,0,0,0,,4.2,22,4,2,2,0,4,0,0,1,0,10,sa3004796
2018,Kutter Crawford,BOS,LEVEL,22,5,4,2.964400483,21,21,0,0,0,0,,112.1,473,104,45,37,6,34,0,7,7,1,120,sa3004798
2017,Walter Borkovich,ATL,LEVEL,21,1,1,2.382360024,6,0,0,0,1,0,,11.1,49,13,4,3,0,1,0,0,0,0,16,sa3004801
2018,Walter Borkovich,ATL,LEVEL,22,4,1,1.834950505,31,3,0,0,2,1,,68.2,278,62,18,14,3,15,0,4,3,0,44,sa3004801
2018,Brendan Feldmann,HOU,LEVEL,24,0,1,1.636363636,23,0,0,0,7,1,,33,132,24,9,6,1,11,0,1,1,0,44,sa3004803
2018,Adrian Chacon,CIN,LEVEL,23,1,0,7.559984715,9,0,0,0,1,0,,16.2,83,23,14,14,3,8,0,1,3,1,16,sa3004806
2019,Steven Jennings,PIT,LEVEL,20,7,12,4.707692308,27,27,0,0,0,0,,130,550,134,83,68,15,39,0,5,11,2,115,sa3004812
2019,Jim Voyles,STL,LEVEL,24,0,0,5.4,2,0,0,0,0,0,,5,23,7,3,3,1,2,0,0,1,0,4,sa3004825
2018,Brian Glowicki,CHC,LEVEL,23,5,5,1.197043705,45,0,0,0,18,3,,67.2,280,52,23,9,4,24,3,2,3,0,66,sa3004826
2019,Brian Glowicki,CHC,LEVEL,24,2,2,1.384615385,19,0,0,0,7,2,,26,110,19,11,4,0,6,1,2,6,0,24,sa3004826
2019,Casey Ryan,CHC,LEVEL,25,3,2,4.736842105,9,0,0,0,0,1,,19,83,18,10,10,2,9,0,2,1,0,11,sa3004827
2018,Josh Reagan,OAK,LEVEL,23,3,3,5.518244334,30,1,0,0,4,1,,45.2,201,50,32,28,4,19,0,4,5,1,33,sa3004830
2019,Josh Reagan,OAK,LEVEL,24,4,2,2.204079488,16,0,0,0,0,3,,32.2,140,27,16,8,3,12,0,3,3,0,31,sa3004830
2019,Manny Ramirez,HOU,LEVEL,19,0,0,27,2,0,0,0,0,0,,1,12,1,4,3,0,6,0,1,0,0,3,sa3004833
2018,David Parkinson,PHI,LEVEL,22,8,1,1.510490075,17,17,1,1,0,0,,95.1,383,74,27,16,4,26,0,2,7,1,115,sa3004857
2019,Jhordany Mezquita,PHI,LEVEL,21,4,7,3.965036446,27,14,0,0,0,3,,95.1,425,87,54,42,9,59,0,4,7,1,92,sa3004860
2018,Kyle Dohy,PHI,LEVEL,21,3,3,0.801979441,24,0,0,0,7,2,,33.2,132,16,5,3,1,17,1,2,6,0,63,sa3004861
2018,Damon Jones,PHI,LEVEL,23,10,7,3.41471592,23,22,0,0,0,0,,113.1,485,105,53,43,7,50,0,4,18,0,123,sa3004862
2019,Ricky Vanasco,TEX,LEVEL,20,0,0,1.687494669,2,2,0,0,0,0,,10.2,39,5,3,2,0,3,0,1,0,0,16,sa3004863
2018,Kyle Zurak,NYY,LEVEL,23,2,1,2.511627907,25,0,0,0,10,1,,43,171,31,13,12,1,10,0,3,8,0,46,sa3004864
2017,Martin Anderson,NYM,LEVEL,24,0,5,6.893624435,7,7,0,0,0,0,,31.1,165,46,34,24,6,16,0,10,5,0,36,sa3004865
2018,Spencer Kulman,SDP,LEVEL,23,0,0,26.99994657,2,0,0,0,0,0,,1.2,13,3,6,5,1,4,0,0,1,0,2,sa3004921
2018,Jake Steffens,CHC,LEVEL,24,1,1,3.648643664,12,0,0,0,0,0,,24.2,109,27,12,10,1,7,0,2,2,0,12,sa3004924
2019,Tom Colletti,SDP,LEVEL,24,1,1,6.75,9,0,0,0,0,0,,16,72,20,13,12,1,5,0,2,1,0,14,sa3004927
2019,John Swanda,LAA,LEVEL,20,0,1,3.857131717,4,4,0,0,0,0,,11.2,54,12,6,5,0,5,0,1,1,0,8,sa3004944
2018,Kyle Goodbrand,TBR,LEVEL,23,5,0,3.857139104,16,0,0,0,0,0,,32.2,142,34,15,14,4,11,0,4,8,0,36,sa3004963
2018,Cody Bolton,PIT,LEVEL,20,3,3,3.654137959,9,9,0,0,0,0,,44.1,179,43,19,18,6,7,0,1,0,2,45,sa3004975
2018,Nick Kennedy,COL,LEVEL,22,4,13,7.093852788,27,23,0,0,0,1,,124.1,577,180,108,98,30,37,0,4,10,3,116,sa3004987
2019,Nick Kennedy,COL,LEVEL,23,3,0,2.076927115,12,0,0,0,0,0,,17.1,65,12,4,4,0,1,0,0,1,0,25,sa3004987
2018,Dalton Higgins,NYY,LEVEL,22,5,5,2.653177728,24,0,0,0,1,4,,57.2,236,44,22,17,3,16,1,4,7,0,44,sa3004988
2019,Dalton Higgins,NYY,LEVEL,23,1,0,1.588235294,9,0,0,0,0,0,,17,63,14,3,3,0,0,0,1,1,0,23,sa3004988
2018,Mitch Stophel,CHC,LEVEL,23,0,0,12.53571856,6,0,0,0,0,0,,9.1,55,20,13,13,3,4,0,2,3,0,12,sa3004991
2018,Marcel Renteria,NYM,LEVEL,23,5,3,4.226084994,15,15,0,0,0,0,,76.2,324,77,43,36,6,23,0,7,1,1,72,sa3005016
2019,Sam Keating,SDP,LEVEL,20,3,8,7.5,14,13,0,0,0,0,,60,283,80,59,50,7,22,0,12,10,0,35,sa3005025
2019,Ethan Lindow,PHI,LEVEL,20,5,2,2.66197083,23,13,0,0,2,1,,94.2,382,73,35,28,4,20,0,4,2,0,103,sa3005028
2019,Matt Turner,CLE,LEVEL,19,2,1,2.742185457,9,9,0,0,0,0,,42.2,188,43,17,13,3,14,0,1,3,1,29,sa3005029
2018,Jackson Stoeckinger,WSN,LEVEL,22,3,6,6.384233094,14,13,0,0,0,0,,67.2,301,86,53,48,12,11,0,4,0,0,51,sa3005031
2019,Jackson Stoeckinger,WSN,LEVEL,23,2,3,3.513009758,29,10,0,0,5,0,,89.2,377,93,40,35,9,22,0,6,5,0,69,sa3005031
2018,Tanner Allison,ATL,LEVEL,23,1,0,13.125,18,0,0,0,0,0,,24,128,42,37,35,3,18,0,1,4,0,19,sa3005032
2018,Derrik Watson,COL,LEVEL,23,1,1,4.932687784,28,0,0,0,0,1,,34.2,158,38,19,19,5,21,0,2,3,0,36,sa3005034
2019,Derrik Watson,COL,LEVEL,24,4,2,3.281769685,34,0,0,0,0,1,,60.1,266,40,27,22,1,43,0,5,11,0,72,sa3005034
2018,Paul Campbell,TBR,LEVEL,22,4,1,2.699997659,7,6,0,0,1,0,,36.2,145,31,12,11,2,12,0,0,3,0,22,sa3005052
2018,Marcelo Martinez,KCR,LEVEL,21,1,0,4.5,1,1,0,0,0,0,,6,23,4,3,3,1,1,0,0,0,0,9,sa3005060
2019,Marcelo Martinez,KCR,LEVEL,22,0,0,2,2,0,0,0,1,0,,9,36,9,2,2,1,0,0,0,1,0,10,sa3005060
2018,MacKenzie Gore,SDP,LEVEL,19,2,5,4.450547118,16,16,0,0,0,0,,60.2,261,61,35,30,5,18,0,5,9,0,74,sa3005068
2019,Yasel Santana,BOS,LEVEL,22,0,3,6.051734686,6,6,0,0,0,0,,19.1,99,25,22,13,4,15,0,2,2,0,14,sa3005075
2019,Nick Snyder,TEX,LEVEL,23,5,3,3.056603774,33,0,0,0,6,1,,53,216,46,18,18,3,18,1,1,3,1,60,sa3005100
2017,Marshall Kasowski,LAD,LEVEL,22,1,1,6,5,3,0,0,0,0,,6,37,10,6,4,1,9,0,0,0,1,6,sa3005114
2018,Marshall Kasowski,LAD,LEVEL,23,0,1,2.571428571,15,1,0,0,0,0,,28,116,13,11,8,1,18,0,0,2,0,49,sa3005114
2018,Blayne Enlow,MIN,LEVEL,19,3,5,3.255319149,20,17,0,0,1,0,,94,408,94,40,34,4,35,0,11,7,2,71,sa3005117
2019,Blayne Enlow,MIN,LEVEL,20,4,3,4.572584162,8,8,0,0,0,0,,41.1,185,42,24,21,4,15,0,2,6,4,44,sa3005117
2019,Matt Sauer,NYY,LEVEL,20,0,1,2.076922315,2,2,0,0,0,0,,8.2,39,6,3,2,0,6,0,1,1,0,8,sa3005118
2019,James Marinan,CIN,LEVEL,20,2,9,5.558826024,17,17,1,0,0,0,,79.1,358,96,53,49,10,30,0,6,11,1,48,sa3005121
2019,Ben Brown,PHI,LEVEL,19,0,0,0,4,1,0,0,0,0,,13.2,54,11,0,0,0,3,0,0,0,1,20,sa3005122
2018,Taylor Braley,MIA,LEVEL,22,5,9,4.790338025,18,18,0,0,0,0,,103.1,449,119,60,55,13,24,0,3,5,0,83,sa3005145
2019,Adam Stauffer,BAL,LEVEL,20,0,0,0.964283974,9,3,0,0,0,1,,18.2,79,8,3,2,0,11,0,0,3,0,31,sa3005146
2017,Parker Sanburn,TEX,LEVEL,22,0,1,1.687501006,3,0,0,0,0,0,,5.1,23,5,1,1,1,2,0,0,0,0,6,sa3005160
2018,Frank Rubio,SFG,LEVEL,23,0,1,1.551724138,17,0,0,0,10,1,,29,117,23,7,5,0,6,1,4,1,0,32,sa3005162
2019,Max Lazar,MIL,LEVEL,20,7,3,2.392405063,19,10,0,0,1,2,,79,317,67,22,21,5,15,0,4,2,0,109,sa3005163
2018,Freddy Tarnok,ATL,LEVEL,19,5,5,3.956898373,27,11,0,0,0,0,,77.1,356,70,56,34,5,41,0,7,8,0,83,sa3005175
2018,Korey Anderson,SDP,LEVEL,23,2,0,3.240001236,5,0,0,0,0,0,,8.1,36,8,3,3,1,3,0,0,0,0,6,sa3005178
2019,Korey Anderson,SDP,LEVEL,24,0,0,8.099996138,4,0,0,0,0,0,,6.2,39,10,7,6,0,6,0,2,1,0,8,sa3005178
2018,Alberto Franco,BOS,LEVEL,23,0,1,7.147080073,8,0,0,0,0,0,,11.1,56,11,11,9,1,11,0,0,2,1,15,sa3005179
2018,Lincoln Henzman,CHW,LEVEL,22,6,3,2.229356706,13,13,1,1,0,0,,72.2,294,68,30,18,5,8,0,1,5,1,60,sa3005187
2018,Mark Washington,LAD,LEVEL,22,1,1,2.945459959,8,0,0,0,0,0,,18.1,78,16,6,6,1,9,1,0,1,0,13,sa3005194
2019,Mark Washington,LAD,LEVEL,23,4,1,2.974578675,20,0,0,0,1,1,,39.1,160,23,14,13,1,19,0,4,3,1,43,sa3005194
2018,Derek Molina,MIN,LEVEL,20,3,0,2.828571429,16,0,0,0,2,0,,35,145,25,13,11,0,16,0,0,4,0,47,sa3005202
2019,Derek Molina,MIN,LEVEL,21,2,1,2.123593094,19,0,0,0,9,1,,29.2,120,20,8,7,1,9,0,4,3,0,46,sa3005202
2018,Alex Valverde,TBR,LEVEL,21,8,7,4.555200759,24,21,0,0,0,0,,108.2,501,120,69,55,15,57,0,8,14,0,79,sa3005207
2019,Justin Bullock,MIL,LEVEL,20,2,2,7.779647687,7,3,0,0,0,0,,19.2,96,21,19,17,5,14,0,1,2,0,20,sa3005213
2019,Sean Barry,CHC,LEVEL,24,0,3,2.382354612,34,0,0,0,6,2,,45.1,202,40,22,12,1,17,3,4,10,0,55,sa3005214
2018,Brandon Withers,OAK,LEVEL,23,0,0,7.2,4,0,0,0,0,0,,5,26,10,4,4,1,1,0,0,1,0,6,sa3005217
2019,Brandon Withers,OAK,LEVEL,24,3,5,4.868852459,41,0,0,0,2,5,,61,285,78,41,33,3,22,0,7,16,0,60,sa3005217
2019,Wilber Perez,CHW,LEVEL,21,4,1,2.828571429,32,1,0,0,4,2,,70,290,36,24,22,5,45,0,3,3,0,74,sa3005219
2018,Zach Prendergast,STL,LEVEL,23,7,4,3.075949367,27,10,0,0,1,1,,79,326,78,33,27,7,15,0,2,4,0,80,sa3005232
2018,Joey Cantillo,SDP,LEVEL,18,0,1,9.818172668,1,1,0,0,0,0,,3.2,18,4,4,4,0,3,0,0,0,0,5,sa3005246
2019,Joey Cantillo,SDP,LEVEL,19,9,3,1.928571429,19,19,1,1,0,0,,98,369,58,24,21,3,27,0,3,2,0,128,sa3005246
2018,Max Herrmann,LAA,LEVEL,24,2,9,5.777777778,29,12,0,0,0,1,,81,382,113,58,52,7,34,0,4,5,0,68,sa3005259
2018,Connor Zwetsch,WSN,LEVEL,23,0,1,12.6,5,0,0,0,1,0,,5,27,9,8,7,1,1,0,1,1,0,6,sa3005260
2018,Kevin Marnon,MIN,LEVEL,24,2,0,1.901405743,11,0,0,0,3,0,,23.2,92,16,6,5,1,6,0,1,3,0,29,sa3005261
2018,DL Hall,BAL,LEVEL,19,2,7,2.098940722,22,20,0,0,0,0,,94.1,391,68,31,22,6,42,0,5,7,0,100,sa3005282
2019,Peyton Remy,CHC,LEVEL,22,4,4,2.800831117,23,12,0,0,2,1,,80.1,329,55,28,25,4,35,0,3,10,0,73,sa3005302
2018,Cory Abbott,CHC,LEVEL,22,4,1,2.471832646,9,9,0,0,0,0,,47.1,185,35,18,13,5,13,0,1,2,0,57,sa3005305
2018,Garrett Whitlock,NYY,LEVEL,22,2,2,1.125,7,7,0,0,0,0,,40,148,23,5,5,1,7,0,2,1,0,44,sa3005306
2018,Hunter Greene,CIN,LEVEL,18,3,7,4.478051114,18,18,0,0,0,0,,68.1,294,66,35,34,6,23,0,6,6,0,89,sa3005315
2018,Hunter Haworth,BOS,LEVEL,21,0,4,10.06777936,5,4,0,0,0,0,,19.2,107,36,32,22,5,9,0,1,5,0,19,sa3005318
2019,Hunter Haworth,BOS,LEVEL,22,5,8,4.718446602,31,10,0,0,2,2,,103,447,94,60,54,9,40,0,9,16,0,124,sa3005318
2019,Bryce Hutchinson,NYM,LEVEL,20,4,7,3.730907642,31,7,0,0,2,0,,91.2,390,91,51,38,5,29,1,5,4,3,71,sa3005328
2019,Matt Tabor,ARI,LEVEL,20,5,4,2.92657452,21,21,0,0,0,0,,95.1,377,79,34,31,6,16,0,2,0,1,101,sa3005334
2019,Nathan Witt,LAD,LEVEL,23,1,2,5.323936082,22,0,0,0,5,3,,23.2,109,27,16,14,2,7,0,2,4,0,31,sa3005340
2019,Nathan Witt,TBR,LEVEL,23,1,3,2.918914931,15,2,0,0,1,0,,24.2,114,23,15,8,0,13,0,0,3,1,21,sa3005340
2019,Christian Pedrol,SEA,LEVEL,19,0,1,4.5,1,1,0,0,0,0,,6,25,5,3,3,2,2,0,1,1,0,9,sa3005351
2019,Jose Olague,ATL,LEVEL,20,10,6,4.022727273,23,23,1,0,0,0,,132,553,147,64,59,8,20,0,10,9,2,68,sa3005352
2018,Max Gamboa,LAD,LEVEL,22,3,4,4.218752515,17,11,0,0,0,1,,53.1,243,53,37,25,2,25,1,1,6,1,51,sa3005358
2017,Brendan Nail,BOS,LEVEL,21,1,0,0,1,0,0,0,0,0,,1,3,0,0,0,0,0,0,0,0,0,0,sa3005359
2018,Brendan Nail,BOS,LEVEL,22,0,1,3.52173767,5,0,0,0,0,1,,7.2,37,6,9,3,0,6,1,1,0,0,13,sa3005359
2019,Brendan Nail,BOS,LEVEL,23,0,1,3.96,15,0,0,0,0,0,,25,115,21,12,11,3,16,0,3,4,0,37,sa3005359
2018,Raymond Kerr,SEA,LEVEL,23,5,11,4.284443958,25,25,0,0,0,0,,111.1,484,117,66,53,14,43,0,6,6,0,101,sa3005362
2018,Alex Scherff,BOS,LEVEL,20,1,5,4.984615385,15,15,0,0,0,0,,65,271,68,38,36,7,23,0,2,4,0,51,sa3005397
2019,Alex Scherff,BOS,LEVEL,21,5,12,4.829268293,26,26,0,0,0,0,,123,559,144,75,66,14,53,0,9,12,0,109,sa3005397
2018,Christian Donahue,CHC,LEVEL,23,0,0,0,1,0,0,0,0,0,,1,4,1,0,0,0,0,0,0,0,0,0,sa3005401
2018,Nick Gallagher,CLE,LEVEL,22,2,2,4,18,6,0,0,1,0,,54,232,55,33,24,6,14,0,2,5,2,54,sa3005408
2019,Nick Gallagher,CLE,LEVEL,23,0,0,0,4,0,0,0,0,0,,9,31,5,0,0,0,0,0,1,0,0,4,sa3005408
2018,Manuel Alvarez,CLE,LEVEL,22,1,2,10.96871535,12,0,0,0,0,1,,10.2,54,14,15,13,1,7,0,1,7,2,10,sa3005410
