Season,Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
2017,Marvin Gorgas,SEA,LEVEL,21,1,1,0.931036105,12,0,0,0,3,1,,19.1,81,13,2,2,1,9,0,2,1,0,23,sa829061
2018,Marvin Gorgas,SEA,LEVEL,22,6,4,3.644173911,29,0,0,0,0,0,,54.1,237,55,28,22,2,28,3,1,4,0,58,sa829061
2016,Erik Manoah Jr.,LAA,LEVEL,20,0,1,6,1,1,0,0,0,0,,3,16,5,2,2,0,2,0,1,0,0,3,sa829063
2017,Erik Manoah Jr.,LAA,LEVEL,21,5,8,3.807692308,23,20,0,0,0,0,,104,449,88,53,44,8,56,0,7,11,8,84,sa829063
2015,Matt Trowbridge,BAL,LEVEL,22,0,0,4.218736673,9,0,0,0,0,0,,10.2,52,11,6,5,0,8,0,0,2,0,13,sa829068
2017,Matt Trowbridge,BAL,LEVEL,24,2,4,3.503814243,28,0,0,0,3,2,,43.2,188,34,17,17,1,24,2,2,5,0,53,sa829068
2015,Caleb Beech,ATL,LEVEL,22,5,2,2.872338968,11,10,0,0,0,0,,62.2,259,56,27,20,2,17,0,2,4,0,43,sa829077
2016,Caleb Beech,ATL,LEVEL,23,0,0,3.272727273,4,1,0,0,0,0,,11,44,10,4,4,0,1,0,0,0,0,8,sa829077
2015,Matt Pearce,STL,LEVEL,21,11,10,2.426261566,24,24,0,0,0,0,,144.2,588,139,51,39,6,22,0,8,3,0,95,sa829078
2019,Yoan Aybar,BOS,LEVEL,21,1,3,4.877416354,40,0,0,0,0,2,,51.2,235,34,31,28,1,40,0,3,11,2,67,sa829086
2015,Tommy Thorpe,CHC,LEVEL,22,5,7,3.083046122,27,12,0,0,1,2,,96.1,420,95,42,33,3,41,1,6,9,0,65,sa829121
2016,Sam McWilliams,ARI,LEVEL,20,3,6,3.977676675,15,15,0,0,0,0,,74.2,318,86,43,33,4,18,0,2,2,1,43,sa829124
2017,Sam McWilliams,ARI,LEVEL,21,11,6,2.842105263,25,25,0,0,0,0,,133,524,112,46,42,5,31,2,4,4,0,98,sa829124
2015,Max Schuh,BAL,LEVEL,23,0,1,1.785125374,24,0,0,0,3,1,,40.1,172,39,14,8,0,15,0,1,8,0,36,sa829132
2015,Ryan Williams,CHC,LEVEL,23,4,1,1.173912348,9,8,0,0,0,0,,53.2,195,36,12,7,0,2,0,2,1,0,37,sa829137
2018,Ryan Williams,CHC,LEVEL,26,0,2,4.821432677,7,6,0,0,0,0,,37.1,159,42,20,20,3,10,0,1,3,0,29,sa829137
2017,Shane Mardirosian,CIN,LEVEL,21,0,0,9,1,0,0,0,0,0,,1,5,2,1,1,0,0,0,0,0,0,1,sa829138
2015,Mike Franco,TBR,LEVEL,23,0,2,1.86923214,23,0,0,0,4,1,,43.1,176,35,11,9,2,13,0,1,6,0,47,sa829140
2016,Micah Miniard,CLE,LEVEL,20,0,2,4.153846154,8,8,0,0,0,0,,39,173,40,22,18,2,19,1,1,7,0,25,sa829147
2017,Micah Miniard,CLE,LEVEL,21,4,13,7.801677628,26,23,0,0,0,1,,117.2,570,157,109,102,21,60,0,14,13,2,61,sa829147
2014,Matt Hockenberry,PHI,LEVEL,22,0,0,9.219489464,10,0,0,0,1,0,,13.2,73,21,16,14,0,9,1,3,2,0,6,sa829157
2015,Matt Hockenberry,PHI,LEVEL,23,4,4,2.235670148,42,0,0,0,19,3,,52.1,208,34,16,13,1,19,0,2,1,1,51,sa829157
2015,Thomas Dorminy,SDP,LEVEL,23,11,7,2.936170213,25,25,0,0,0,0,,141,589,125,54,46,5,48,0,7,1,1,108,sa829160
